epoch,ref_mse
0,0.06096471722910541
100,4.5522172615216306e-05
200,9.227791798039825e-07
300,7.35164120041621e-07
400,5.731150483789283e-07
500,4.336301702041567e-07
600,3.191271715523583e-07
700,2.2859892731476556e-07
800,1.593379174325317e-07
900,1.0803091601571125e-07
1000,7.128677802819591e-08
1100,4.593719684606906e-08
1200,2.9115929814025732e-08
1300,1.8408089938440925e-08
1400,1.1859300789699329e-08
1500,8.00845245550297e-09
1600,5.813421301331151e-09
1700,4.59388799385068e-09
1800,3.929709934079155e-09
1900,3.5660098174667166e-09
2000,3.3660406846285973e-09
2100,3.251394180747321e-09
2200,3.1817765031633912e-09
2300,3.1352337631726053e-09
2400,3.10096103664164e-09
2500,3.072078709233917e-09
2600,3.0459722452057826e-09
2700,3.0201496713104825e-09
2800,2.994197002977404e-09
2900,2.966786666787859e-09
3000,2.936930090592041e-09
3100,2.9062376425469238e-09
3200,2.8736422686396444e-09
3300,2.8392415916976204e-09
3400,2.8039830259523924e-09
3500,2.766386616281604e-09
3600,2.7274828376509618e-09
3700,2.687503299244199e-09
3800,2.6463618707544448e-09
3900,2.6033881467412863e-09
4000,2.5592679003527195e-09
4100,2.514252335283697e-09
4200,2.469441835686638e-09
4300,2.4228921895936956e-09
4400,3.7411328300993974e-08
4500,2.316582444805654e-09
4600,3.2446737505917142e-09
4700,2.5429909193160222e-09
4800,2.1584672297288276e-09
4900,2.720124461823467e-06
5000,2.090621918497406e-09
5100,2.028891651686434e-09
5200,2.3893920115462258e-09
5300,3.390676561835561e-09
5400,6.535173021963937e-07
5500,1.856788010679394e-09
5600,7.657548791368812e-08
5700,3.6402674471542575e-09
5800,1.7120057627931086e-09
5900,8.708338497255664e-08
6000,2.3639079808716764e-09
6100,1.9772617884239072e-07
6200,2.2547118143431184e-09
6300,2.5223009763810323e-07
6400,2.6315674148038866e-09
6500,1.4798387806561975e-09
6600,3.0684625869463894e-06
6700,1.413812612510737e-09
6800,1.1176860591889556e-05
6900,1.3721010619839855e-09
7000,6.88903511898548e-06
7100,1.5557092869286062e-09
7200,1.2876760927288626e-09
7300,1.399890625108284e-07
7400,5.068956025002051e-08
7500,1.2294289475194268e-09
7600,1.0565506812189851e-05
7700,1.180348370533863e-09
7800,1.1653562683770263e-09
7900,2.580675364774433e-07
8000,1.4964967026546986e-09
8100,1.1421553344144026e-09
8200,1.8110115705781513e-08
8300,1.0770819600121647e-09
8400,1.6310716321349376e-06
8500,4.304577135173934e-07
8600,1.0358978852302624e-09
8700,3.0086708458980045e-08
8800,1.0489129385768183e-09
8900,1.0010402890080224e-09
9000,4.467075765814585e-09
9100,5.0374040127821306e-08
9200,9.72845142304497e-10
9300,6.006445884294627e-07
9400,1.0062740863138145e-09
9500,9.63504602032094e-10
9600,1.8275166691353704e-09
9700,4.364384774306341e-09
9800,1.6875010160435186e-09
9900,2.5628659307847013e-09
10000,8.365660300742712e-10
10100,1.7029064239509465e-08
10200,6.713034556647903e-09
10300,8.098974476334434e-10
10400,1.789307138361884e-09
10500,7.789872163947236e-10
10600,1.8148758852554317e-06
10700,5.58214609421211e-09
10800,1.1936501908563093e-06
10900,8.030889904193237e-10
11000,9.696890416490288e-08
11100,7.567490940981995e-10
11200,6.060184819435492e-08
11300,7.099983906409063e-10
11400,1.8084542293970357e-08
11500,6.758755155024405e-10
11600,3.841213790598629e-07
11700,2.0377092008228187e-06
11800,6.478256188778067e-10
11900,6.595631135041637e-10
12000,3.2866191056646653e-09
12100,6.169746394781134e-10
12200,1.78025522549169e-09
12300,1.6418015202315402e-07
12400,6.131690478731454e-10
12500,1.5268916373040647e-07
12600,5.724543729688415e-10
12700,5.758737492034926e-10
12800,2.480286844195958e-07
12900,8.171358001426226e-07
13000,3.856395750649962e-08
13100,8.219238469411862e-10
13200,5.519926644788454e-07
13300,5.102672423644386e-10
13400,2.881548986867659e-09
13500,3.064938263209096e-07
13600,6.347837230184761e-10
