i,t,r_init,r_final,r_max,epoch_of_max,r_mean,r_std,loss_contribution_final,err_norm_final,epoch_below_1e-4,n_snapshots,rank_by_final_residual
0,2.63914621,0.67984885,0.0300661141,0.925488763,9000,0.0642498703,0.132136578,7.57228001e-09,0.42371432,,81,7918
1,3.07060606,0.743482562,0.0238934662,0.891569181,9000,0.0580967791,0.131907524,4.78222908e-09,0.549248938,,81,9212
2,12.4174383,46.34604,0.00590422327,46.34604,0,0.610505755,5.11462537,2.92009921e-10,2.12671387,,81,20300
3,1.90901272,0.579167818,0.0433393119,0.958050222,9000,0.0812466603,0.131540541,1.57338892e-08,0.258363386,,81,5727
4,2.14308271,0.598729005,0.0388291024,0.951671113,9000,0.074425262,0.131448314,1.26295177e-08,0.305978136,,81,6430
5,9.66045467,22.5708338,0.00271401426,22.5708338,0,0.310844814,2.48988679,6.17015841e-11,3.31902673,,81,29113
6,11.3159058,35.8811223,0.0028201983,35.8811223,0,0.475980347,3.95964999,6.66241001e-11,2.85097104,,81,27549
7,2.71711611,0.693078198,0.0288370248,0.920062185,9000,0.063008866,0.132212466,6.9658315e-09,0.444632727,,81,8152
8,10.2872504,27.2611475,0.00232258321,27.2611475,0,0.368860999,3.00782878,4.51871163e-11,3.22265648,,81,33484
9,11.2287955,35.1074705,0.00267329892,35.1074705,0,0.466281191,3.87423428,5.98641898e-11,2.89453767,,81,29605
10,12.4661804,46.8379507,0.00607925127,46.8379507,0,0.616950206,5.16890086,3.09579541e-10,2.08964283,,81,20041
11,13.0497904,52.9146553,0.00836185777,52.9146553,0,0.69693888,5.83933416,5.85703226e-10,1.64481148,,81,16842
12,1.10739144,0.683523395,0.0634061524,0.911685315,9000,0.114047006,0.132167035,3.36771138e-08,0.125213966,,81,3323
13,4.74236742,1.47180686,0.0114631681,1.47180686,0,0.0574479721,0.177739739,1.10073147e-09,1.34557426,,81,14227
14,0.19675866,0.849975325,0.0901129451,0.849975325,0,0.153110997,0.124335531,6.80215355e-08,0.0173643481,,81,557
15,8.83969253,17.0899243,0.00282749184,17.0899243,0,0.242888583,1.88470028,6.69691496e-11,3.33560214,,81,27413
16,6.22877175,4.81576062,0.00449311802,4.81576062,0,0.093897806,0.531780347,1.69109387e-10,2.42359611,,81,22506
17,12.5882731,48.0807238,0.00652879101,48.0807238,0,0.633254475,5.30602077,3.57057037e-10,1.99621392,,81,19388
18,4.58461054,1.28508632,0.0122280606,1.28508632,0,0.0556632038,0.160811,1.25252737e-09,1.24531325,,81,13754
19,11.4476351,37.0662101,0.00307678481,37.0662101,0,0.490882472,4.09048491,7.92987438e-11,2.78068496,,81,25141
20,1.92300892,0.579729589,0.0430649765,0.957803633,9000,0.0807960114,0.131520973,1.55353304e-08,0.261084783,,81,5769
21,7.05502594,7.83565113,0.00145544451,7.83565113,0,0.129230704,0.863623869,1.77444838e-11,2.91108824,,81,37966
22,6.6958404,6.42336511,0.00256895125,6.42336511,0,0.112569947,0.708167109,5.52820055e-11,2.72228113,,81,30765
23,12.6159047,48.3640844,0.00663267971,48.3640844,0,0.636976269,5.33728449,3.68510711e-10,1.97500159,,81,19239
24,9.65022036,22.4978464,0.00271955333,22.4978464,0,0.309941028,2.48182717,6.19536962e-11,3.31995111,,81,29042
25,10.9669768,32.8304796,0.00235268322,32.8304796,0,0.437851266,3.62282592,4.63659298e-11,3.01146065,,81,33116
26,2.76636068,0.701127344,0.0280857719,0.916468086,9000,0.0622570952,0.132239943,6.60761592e-09,0.458223589,,81,8300
27,9.82310019,23.7463476,0.0026177763,23.7463476,0,0.325395995,2.61969419,5.74033352e-11,3.3017067,,81,30235
28,7.09883928,8.01834416,0.00136169014,8.01834416,0,0.131404595,0.8837518,1.55320454e-11,2.93146864,,81,38280
29,12.2185665,44.3641237,0.00521778518,44.3641237,0,0.584601388,4.89594097,2.28057549e-10,2.27561316,,81,21342
30,5.73015857,3.38794918,0.00679369829,3.38794918,0,0.0777205528,0.376432993,3.8662023e-10,2.05958189,,81,19009
31,7.72727748,10.8869106,0.00155824434,10.8869106,0,0.166104804,1.20005707,2.03396361e-11,3.16196617,,81,37649
32,4.63899927,1.34557981,0.011961898,1.34557981,0,0.0562300905,0.166171738,1.19859442e-09,1.27928859,,81,13917
33,9.85185358,23.9572055,0.00259947952,23.9572055,0,0.328005167,2.64297863,5.66037058e-11,3.29811734,,81,30435
34,4.50353455,1.20250067,0.0126311589,1.20250067,0,0.0549133695,0.153732455,1.33646768e-09,1.19585115,,81,13511
35,10.6636651,30.2838883,0.00221614538,30.2838883,0,0.406243677,3.34162545,4.11404044e-11,3.12132516,,81,35571
36,2.72819744,0.694912651,0.0286662588,0.919264536,9000,0.0628376522,0.132220172,6.88357577e-09,0.447665005,,81,8185
37,1.4547174,0.609705047,0.0529883698,0.951940771,9000,0.0984131643,0.132948636,2.35197759e-08,0.177820639,,81,4365
38,3.1923858,0.756660006,0.0224335703,0.880395024,9000,0.0566976137,0.131485559,4.21569186e-09,0.589393242,,81,9578
39,11.3446557,36.1382122,0.00287276676,36.1382122,0,0.479208317,3.98803361,6.91309935e-11,2.83608137,,81,26111
40,10.1699066,26.3502729,0.0023913912,26.3502729,0,0.357600899,2.90724146,4.79041696e-11,3.24709073,,81,32669
41,3.25725715,0.762984888,0.0217054094,0.874183577,9000,0.0560337246,0.131195828,3.94646293e-09,0.611719632,,81,9772
42,3.64483671,0.801732584,0.018013092,0.833731919,9000,0.0533893625,0.129303117,2.71799464e-09,0.76006176,,81,10935
43,5.00960187,1.86553943,0.0101975935,1.86553943,0,0.0614284802,0.216059888,8.71098874e-10,1.5266191,,81,15029
44,6.60626588,6.0949538,0.0029089098,6.0949538,0,0.108730165,0.6720677,7.08814466e-11,2.66933706,,81,25521
45,6.9624364,7.45701626,0.0016912779,7.45701626,0,0.124739376,0.821919116,2.39608384e-11,2.86610928,,81,37260
46,5.25764115,2.3154511,0.00902954166,2.3154511,0,0.0661454075,0.262205168,6.82972906e-10,1.70509463,,81,15947
47,12.2752428,44.9248309,0.00540874309,44.9248309,0,0.591919284,4.95781066,2.45055679e-10,2.23364746,,81,21047
48,3.60833979,0.797143808,0.0183166431,0.837762891,9000,0.0535477458,0.129420918,2.81037214e-09,0.744931737,,81,10825
49,9.4014789,20.7597775,0.00282863282,20.7597775,0,0.288408251,2.28990433,6.70232086e-11,3.3366553,,81,27390
50,12.9145276,51.4756861,0.00780363596,51.4756861,0,0.677940396,5.68058189,5.10112618e-10,1.74650554,,81,17600
51,12.19537,44.1355856,0.00514074444,44.1355856,0,0.581621434,4.87072321,2.21372715e-10,2.29265919,,81,21462
52,8.42845499,14.630752,0.00255197632,14.630752,0,0.212373952,1.61321671,5.45538423e-11,3.30049134,,81,30945
53,1.72133025,0.580301258,0.0470963202,0.959299569,9000,0.0877793595,0.131989732,1.8580013e-08,0.223313587,,81,5164
54,11.3826633,36.479421,0.00294525525,36.479421,0,0.483496487,4.02570372,7.26637726e-11,2.81600991,,81,25437
55,0.0659505366,0.852701417,0.0847968156,0.852701417,0,0.156764408,0.134623805,6.02325362e-08,0.00550016211,,81,1565
56,8.08126039,12.7057817,0.00212654167,12.7057817,0,0.188523898,1.40075243,3.78808626e-11,3.24559161,,81,36014
57,0.453072218,0.824908192,0.0887486885,0.824908192,0,0.143639276,0.118298605,6.59775146e-08,0.043358959,,81,918
58,9.35034574,20.4110509,0.00284397866,20.4110509,0,0.284085543,2.2513978,6.77524071e-11,3.3387535,,81,27060
59,3.32534775,0.76928483,0.0209770228,0.867479438,9000,0.0554052776,0.130853045,3.68603763e-09,0.635888209,,81,9976
60,0.870540129,0.741529468,0.0730954031,0.84596672,9000,0.125013154,0.128118937,4.47560958e-08,0.0930824599,,81,2612
61,1.52261504,0.599350257,0.0513828061,0.955150975,9000,0.0955684567,0.132723447,2.21160569e-08,0.18895556,,81,4568
62,4.24634363,0.999457617,0.0139840411,0.999457617,0,0.0532824392,0.138044568,1.63808883e-09,1.04853616,,81,12739
63,10.3775723,27.9724755,0.00227780244,27.9724755,0,0.37765422,3.08638028,4.34614458e-11,3.2016263,,81,34101
64,7.15196873,8.24291717,0.00126629264,8.24291717,0,0.134083025,0.908497831,1.3431986e-11,2.95540501,,81,38645
65,8.65852535,15.9827308,0.00273694376,15.9827308,0,0.229148338,1.76246408,6.27485667e-11,3.32387124,,81,28819
66,4.09430593,0.918659291,0.0148616674,0.918659291,0,0.0528301064,0.132956476,1.85015084e-09,0.968346915,,81,12283
67,0.692025904,0.781990516,0.0808006131,0.781990516,0,0.133087102,0.123293194,5.46891754e-08,0.0707161688,,81,2065
68,9.83363887,23.8235251,0.00261110456,23.8235251,0,0.326351028,2.62821668,5.71111085e-11,3.30040993,,81,30307
69,10.9514027,32.6973274,0.00233960039,32.6973274,0,0.436193888,3.60812357,4.58516992e-11,3.01775893,,81,33274
70,2.93015161,0.725640048,0.0257316938,0.903621999,9000,0.0599133946,0.132181734,5.54636969e-09,0.505658032,,81,8791
71,5.33507523,2.47209087,0.00866390296,2.47209087,0,0.0678108093,0.278614008,6.28780728e-10,1.76234641,,81,16435
72,11.9616341,41.8635971,0.00440286279,41.8635971,0,0.55210259,4.6200104,1.62383675e-10,2.45927498,,81,22657
73,6.3174088,5.10085867,0.00410379334,5.10085867,0,0.0971853397,0.562988728,1.41072716e-10,2.48427213,,81,23168
74,11.586944,38.339273,0.00338905136,38.339273,0,0.506963574,4.23102318,9.62118055e-11,2.70071121,,81,24492
75,5.75924659,3.46297843,0.00665644405,3.46297843,0,0.0785470528,0.38453777,3.71156128e-10,2.08147838,,81,19205
76,9.27588184,19.9084524,0.00286136634,19.9084524,0,0.277854224,2.19590131,6.85833967e-11,3.34101484,,81,26587
77,10.6094363,29.8389779,0.00221591793,29.8389779,0,0.400736876,3.29249536,4.11319602e-11,3.13821453,,81,35594
78,1.42669731,0.614476555,0.0536811773,0.950281829,9000,0.0996123566,0.133024097,2.41388251e-08,0.173311087,,81,4281
79,4.08121896,0.912919416,0.0149407376,0.912919416,0,0.0528077654,0.132638798,1.86989036e-09,0.961681534,,81,12244
80,2.38077016,0.634612826,0.0344546912,0.94102746,9000,0.0689502169,0.131735898,9.94417564e-09,0.35928707,,81,7143
81,0.813175291,0.755073543,0.075614501,0.823064104,9000,0.127628484,0.126668053,4.78941251e-08,0.0857215055,,81,2440
82,6.03388118,4.2219928,0.00537492907,4.2219928,0,0.0870934045,0.466943655,2.42001211e-10,2.28505908,,81,21100
83,11.337513,36.0742586,0.00285952225,36.0742586,0,0.478405091,3.98097294,6.84950244e-11,2.83980421,,81,26645
84,11.119968,34.1521959,0.00251728929,34.1521959,0,0.454333407,3.76876266,5.30809051e-11,2.94568576,,81,31313
85,7.60316111,10.2837152,0.00136139207,10.2837152,0,0.158726318,1.13351703,1.55252463e-11,3.12522219,,81,38281
86,13.0078872,52.4669117,0.00818712859,52.4669117,0,0.691023878,5.78993789,5.61481287e-10,1.67612428,,81,17077
87,11.8091354,40.4116255,0.0039626449,40.4116255,0,0.53338376,4.45976813,1.31535317e-10,2.561843,,81,23416
88,6.60035805,6.07362827,0.0029319332,6.07362827,0,0.108481262,0.669724462,7.200791e-11,2.66576697,,81,25467
89,10.6971925,30.5605394,0.00221962459,30.5605394,0,0.409669422,3.37217497,4.12696816e-11,3.1104771,,81,35354
90,2.85871816,0.715415007,0.0267306839,0.909389748,9000,0.0609068772,0.132238389,5.98538654e-09,0.484537815,,81,8577
91,10.5591115,29.4289302,0.00222127576,29.4289302,0,0.395663719,3.24721474,4.1331105e-11,3.15317365,,81,35284
92,2.59935325,0.672925676,0.0307115086,0.928130639,9000,0.0649100294,0.132085587,7.90085995e-09,0.413313117,,81,7798
93,12.2888295,45.0597339,0.00545508515,45.0597339,0,0.593681281,4.972696,2.49272938e-10,2.22352514,,81,20976
94,12.6427937,48.6405708,0.00673452174,48.6405708,0,0.640609243,5.36778959,3.79914248e-10,1.95434969,,81,19093
95,8.31209364,13.9701131,0.00242839259,13.9701131,0,0.204181957,1.54029454,4.93980565e-11,3.2848406,,81,32260
96,8.61603269,15.7284633,0.00270873385,15.7284633,0,0.225993026,1.73439376,6.14617233e-11,3.32028323,,81,29179
97,6.74674022,6.61421956,0.00238420891,6.61421956,0,0.114807221,0.729156803,4.76168516e-11,2.75135388,,81,32751
98,7.47477473,9.67871264,0.0011976426,9.67871264,0,0.151366605,1.06678896,1.20150763e-11,3.08283311,,81,38973
99,3.90676318,0.852166969,0.0160589684,0.852166969,0,0.0527425839,0.129876476,2.16026659e-09,0.876347802,,81,11721
100,12.9706305,52.0702972,0.00803312404,52.0702972,0,0.685786964,5.74618201,5.40556395e-10,1.70411599,,81,17287
101,6.01831335,4.17653069,0.00544659112,4.17653069,0,0.0865753611,0.461990491,2.48497264e-10,2.27373577,,81,20989
102,3.79776897,0.826581298,0.0168273172,0.826581298,0,0.0529075125,0.129254295,2.37192976e-09,0.82627989,,81,11394
103,13.0191498,52.5870821,0.00823393455,52.5870821,0,0.692611104,5.80319544,5.67919635e-10,1.66768972,,81,17014
104,4.70862292,1.42898241,0.0116251082,1.42898241,0,0.0570302618,0.173763504,1.13205121e-09,1.32369236,,81,14126
105,3.37051921,0.773369805,0.020513565,0.862931384,9000,0.0550283848,0.130610532,3.52496126e-09,0.65234855,,81,10112
106,10.3656181,27.8778213,0.00228320933,27.8778213,0,0.376484094,3.07592769,4.36680224e-11,3.20452388,,81,34020
107,12.6274769,48.4829859,0.00667641961,48.4829859,0,0.638538433,5.35040307,3.73387102e-10,1.96611445,,81,19176
108,5.18836938,2.18179653,0.00935612015,2.18179653,0,0.0647325185,0.24832286,7.33269538e-10,1.65442257,,81,15565
109,11.3015306,35.7529006,0.00279466028,35.7529006,0,0.474371357,3.94549376,6.54229478e-11,2.85832113,,81,27989
110,12.1929116,44.1113975,0.00513261821,44.1113975,0,0.581306139,4.8680542,2.20673399e-10,2.29446103,,81,21475
111,2.86668459,0.716592614,0.0266171395,0.908758994,9000,0.0607938973,0.132234616,5.93464611e-09,0.486859407,,81,8600
112,4.94547415,1.76231357,0.0104996638,1.76231357,0,0.0603663723,0.205766323,9.2347012e-10,1.48198876,,81,14837
113,0.532999759,0.812362353,0.0865877492,0.812362353,0,0.140153689,0.119351781,6.28036616e-08,0.0521705268,,81,1306
114,6.78047877,6.74241694,0.00226556935,6.74241694,0,0.116312423,0.743259544,4.29958742e-11,2.77021158,,81,34291
115,8.3935759,14.4310916,0.00251703047,14.4310916,0,0.209897658,1.5911774,5.30699905e-11,3.29607866,,81,31315
116,12.8584798,50.8848193,0.00757731015,50.8848193,0,0.670148926,5.61539418,4.80952506e-10,1.78909746,,81,17912
117,12.3424292,45.5937703,0.00563999279,45.5937703,0,0.600661256,5.03162152,2.66458243e-10,2.18338164,,81,20696
118,12.4135048,46.3064484,0.00589021162,46.3064484,0,0.609987309,5.11025696,2.90625595e-10,2.12969782,,81,20321
119,2.13966487,0.598306422,0.0388937279,0.951795816,9000,0.0745140775,0.131446402,1.26715927e-08,0.305249499,,81,6419
120,7.79129296,11.2050457,0.00166482375,11.2050457,0,0.170010697,1.23515514,2.32171329e-11,3.17935187,,81,37336
121,9.92195132,24.4750772,0.00255384331,24.4750772,0,0.334412214,2.70016596,5.46336931e-11,3.28868009,,81,30926
122,1.33802409,0.631267085,0.0560157555,0.943534161,9000,0.103495855,0.133155702,2.62840606e-08,0.159359642,,81,4015
123,7.15121421,8.23970462,0.00126749553,8.23970462,0,0.134044661,0.908143807,1.3457517e-11,2.95507103,,81,38640
124,7.7553211,11.0256899,0.00160479273,11.0256899,0,0.167807568,1.21536752,2.1572971e-11,3.169711,,81,37511
125,2.29860806,0.621034915,0.0359369517,0.945128968,9000,0.0706952722,0.131609696,1.08181883e-08,0.340254374,,81,6896
126,7.40810804,9.37216794,0.00114369891,9.37216794,0,0.147654267,1.03298436,1.09570963e-11,3.05900189,,81,39350
127,4.29996577,1.03461185,0.0136902615,1.03461185,0,0.0535302816,0.140524274,1.56998517e-09,1.07803781,,81,12900
128,6.49035379,5.68411792,0.00337255185,5.68411792,0,0.103944446,0.626947402,9.52772764e-11,2.59758696,,81,24525
129,1.11724789,0.681130946,0.0630459243,0.913582972,9000,0.113588791,0.13226264,3.32955425e-08,0.126613377,,81,3352
130,0.7408117,0.771474757,0.0787566193,0.78953941,9000,0.130898474,0.124676003,5.19572544e-08,0.0766695746,,81,2223
131,5.31053268,2.42162148,0.0087798595,2.42162148,0,0.0672731789,0.273312398,6.45724397e-10,1.74413802,,81,16280
132,1.59707868,0.590144742,0.0497185293,0.957521843,9000,0.0925533529,0.132441511,2.07065913e-08,0.201514439,,81,4792
133,4.31085434,1.04219838,0.0136314725,1.04219838,0,0.0535864298,0.141075645,1.55653041e-09,1.08410653,,81,12933
134,10.4343368,28.424054,0.0022546559,28.424054,0,0.383237014,3.13624771,4.2582642e-11,3.18738161,,81,34479
135,3.2462267,0.761936096,0.0218268415,0.875252035,9000,0.0561422371,0.131247912,3.99074384e-09,0.607875797,,81,9739
136,0.948403016,0.72262473,0.069731629,0.87231124,9000,0.121431163,0.129820783,4.07316202e-08,0.10333425,,81,2846
137,1.01446752,0.706344938,0.0669940806,0.890818489,9000,0.118369173,0.130983543,3.75962844e-08,0.112269536,,81,3044
138,0.994689806,0.711227412,0.0677992429,0.885621713,9000,0.119287472,0.130663633,3.85054099e-08,0.109571563,,81,2985
139,1.86989472,0.578058427,0.0441095498,0.95863608,9000,0.0825343331,0.131605531,1.62981126e-08,0.25083841,,81,5610
140,7.32521908,8.99829868,0.00112083521,8.99829868,0,0.143142543,0.991761407,1.05233883e-11,3.02759046,,81,39748
141,1.28681431,0.64197733,0.0574785104,0.938446496,9000,0.105792711,0.133130692,2.76747096e-08,0.151517455,,81,3861
142,11.2844917,35.601202,0.00276504485,35.601202,0,0.472468549,3.92874546,6.40437013e-11,2.86695106,,81,28434
143,8.37236479,14.3103559,0.0024948965,14.3103559,0,0.208400415,1.57785033,5.21407328e-11,3.29327946,,81,31551
144,9.39462088,20.712836,0.00283084599,20.712836,0,0.287826422,2.28472101,6.71281299e-11,3.33696267,,81,27344
145,5.40108159,2.61159426,0.0083517457,2.61159426,0,0.0693016565,0.293332125,5.8428749e-10,1.81156551,,81,16855
146,7.83972718,11.4489196,0.00174559726,11.4489196,0,0.173010426,1.26206198,2.55246717e-11,3.19181957,,81,37104
147,8.94514452,17.7515885,0.00285862771,17.7515885,0,0.251099282,1.95775297,6.84521765e-11,3.33983396,,81,26672
148,2.69322059,0.689080488,0.0292086104,0.921760017,9000,0.0633822849,0.132193067,7.14650754e-09,0.438144717,,81,8080
149,4.80943599,1.56155195,0.0111432546,1.56155195,0,0.0583355589,0.186219328,1.04015046e-09,1.38974578,,81,14429
150,5.37604802,2.55804119,0.00847018263,2.55804119,0,0.0687285379,0.287671625,6.00976669e-10,1.79285929,,81,16695
151,8.19295656,13.3098819,0.00228159665,13.3098819,0,0.196001088,1.46742296,4.36063567e-11,3.26599049,,81,34043
152,1.31031964,0.636979438,0.0567957184,0.940900542,9000,0.104734046,0.133153084,2.70211145e-08,0.155097885,,81,3931
153,11.8312288,40.6204904,0.00402422675,40.6204904,0,0.536066269,4.48282009,1.35655358e-10,2.5473264,,81,23307
154,6.4069699,5.39845554,0.00371990149,5.39845554,0,0.100628718,0.5956059,1.15913746e-10,2.54384098,,81,23857
155,4.47547519,1.17602843,0.0127727584,1.17602843,0,0.054680418,0.151532075,1.36660013e-09,1.17906733,,81,13427
156,13.2114782,54.6588064,0.00905089276,54.6588064,0,0.720009756,6.03175003,6.86206617e-10,1.52598419,,81,15918
157,6.78435585,6.75723512,0.00225214417,6.75723512,0,0.116486533,0.744889854,4.24878193e-11,2.77235734,,81,34523
158,2.85207231,0.714425647,0.0268258146,0.909913519,9000,0.0610015465,0.13224107,6.02806466e-09,0.482607465,,81,8557
159,13.2011062,54.5461374,0.00900599392,54.5461374,0,0.718518026,6.01932048,6.79415362e-10,1.53350059,,81,15978
160,3.53690685,0.78915626,0.0189355483,0.845528132,9000,0.0539082752,0.129724847,3.00350137e-09,0.716044808,,81,10611
161,4.66656797,1.37780469,0.0118280655,1.37780469,0,0.0565369598,0.169079444,1.17192414e-09,1.29674986,,81,14000
