iteration,eps,kind
31,0.01,eps
53,0.1,eps
87,1.0,eps
1371,10.0,eps
3256,0.01,eps
3274,0.1,eps
3293,1.0,eps
3337,10.0,eps
5227,0.01,eps
5253,0.1,eps
5276,1.0,eps
5298,10.0,eps
7189,0.01,eps
7207,0.1,eps
7252,1.0,eps
7284,10.0,eps
9176,0.01,eps
9192,0.1,eps
9232,1.0,eps
9275,10.0,eps
11166,0.01,eps
11179,0.1,eps
11228,1.0,eps
11271,10.0,eps
13083,0.01,eps
13110,0.1,eps
13147,1.0,eps
13175,10.0,eps
15062,0.01,eps
15087,0.1,eps
15118,1.0,eps
15139,10.0,eps
17017,0.01,eps
17069,0.1,eps
17094,1.0,eps
17112,10.0,eps
18753,0.01,eps
18814,0.1,eps
18863,1.0,eps
22863,10.0,eps
24467,0.01,eps
24491,0.1,eps
24523,1.0,eps
28523,10.0,eps
30204,0.01,eps
30217,0.1,eps
30247,1.0,eps
34247,10.0,eps
36131,0.01,eps
36150,0.1,eps
36180,1.0,eps
36351,10.0,eps
38238,0.01,eps
38260,0.1,eps
38274,1.0,eps
38330,10.0,eps
40219,0.01,eps
40248,0.1,eps
40268,1.0,eps
40283,10.0,eps
42178,0.01,eps
42206,0.1,eps
42243,1.0,eps
42274,10.0,eps
43905,0.01,eps
43938,0.1,eps
43994,1.0,eps
44041,10.0,eps
45930,0.01,eps
45959,0.1,eps
46020,1.0,eps
46087,10.0,eps
47971,0.01,eps
48013,0.1,eps
48075,1.0,eps
48135,10.0,eps
50018,0.01,eps
50062,0.1,eps
50112,1.0,eps
50159,10.0,eps
52042,0.01,eps
52089,0.1,eps
52128,1.0,eps
52165,10.0,eps
54053,0.01,eps
54103,0.1,eps
54131,1.0,eps
54164,10.0,eps
56054,0.01,eps
56109,0.1,eps
56137,1.0,eps
57068,10.0,eps
58973,0.01,eps
59028,0.1,eps
59063,1.0,eps
63063,10.0,eps
64946,0.01,eps
65005,0.1,eps
65044,1.0,eps
69044,10.0,eps
70782,0.01,eps
70817,0.1,eps
70843,1.0,eps
74843,10.0,eps
76726,0.01,eps
76753,0.1,eps
76768,1.0,eps
76802,10.0,eps
3247,,window
5212,,window
7173,,window
9159,,window
11150,,window
13073,,window
15046,,window
17009,,window
18740,,window
24444,,window
30191,,window
36123,,window
38226,,window
40205,,window
42159,,window
43892,,window
45917,,window
47963,,window
50010,,window
52034,,window
54040,,window
56040,,window
58944,,window
64938,,window
70774,,window
76718,,window
78677,,window
