i,t,r_init,r_final,r_max,epoch_of_max,r_mean,r_std,loss_contribution_final,err_norm_final,epoch_below_1e-4,n_snapshots,rank_by_final_residual
0,0,0.851308735,0.00324086158,0.851308735,0,0.0531272071,0.199545382,8.79818375e-11,0,,17,37
1,0.000333344893,0.85132051,0.00322738513,0.85132051,0,0.053115216,0.199551323,8.72516505e-11,1.07803783e-06,,17,40
2,0.000666689787,0.851332235,0.00321392852,0.851332235,0,0.0531032407,0.199557249,8.65255739e-11,2.15150679e-06,,17,43
3,0.00100003468,0.851343913,0.00320049173,0.851343913,0,0.0530912812,0.199563158,8.58035942e-11,3.22041409e-06,,17,46
4,0.00133337957,0.851355543,0.00318707476,0.851355543,0,0.0530793376,0.199569051,8.50856977e-11,4.28476689e-06,,17,49
5,0.00166672447,0.851367124,0.00317367761,0.851367124,0,0.0530674097,0.199574928,8.43718708e-11,5.3445724e-06,,17,52
6,0.00200006936,0.851378657,0.00316030028,0.851378657,0,0.0530554977,0.19958079,8.36621e-11,6.39983779e-06,,17,55
7,0.00233341425,0.851390141,0.00314694276,0.851390141,0,0.0530436015,0.199586635,8.29563719e-11,7.45057024e-06,,17,58
8,0.00266675915,0.851401578,0.00313360505,0.851401578,0,0.0530317211,0.199592464,8.22546728e-11,8.49677693e-06,,17,61
9,0.00300010404,0.851412966,0.00312028714,0.851412966,0,0.0530198565,0.199598277,8.15569893e-11,9.53846505e-06,,17,64
10,0.00333344893,0.851424307,0.00310698903,0.851424307,0,0.0530080077,0.199604075,8.08633081e-11,1.05756417e-05,,17,69
11,0.00366679383,0.851435598,0.00309371073,0.851435598,0,0.0529961747,0.199609856,8.01736155e-11,1.16083142e-05,,17,75
12,0.00400013872,0.851446842,0.00308045221,0.851446842,0,0.0529843575,0.199615621,7.94878983e-11,1.26364896e-05,,17,80
13,0.00433348361,0.851458037,0.00306721348,0.851458037,0,0.0529725561,0.19962137,7.88061431e-11,1.36601751e-05,,17,86
