iteration,eps,kind
27,0.01,eps
49,0.1,eps
58,1.0,eps
83,10.0,eps
116,100.0,eps
742,0.01,eps
745,0.1,eps
761,1.0,eps
780,10.0,eps
798,100.0,eps
1372,0.01,eps
1380,0.1,eps
1386,1.0,eps
1424,10.0,eps
1436,100.0,eps
2062,0.01,eps
2072,0.1,eps
2089,1.0,eps
2125,10.0,eps
2150,100.0,eps
2776,0.01,eps
2782,0.1,eps
2802,1.0,eps
2834,10.0,eps
2870,100.0,eps
3496,0.01,eps
3506,0.1,eps
3518,1.0,eps
3550,10.0,eps
3588,100.0,eps
4171,0.01,eps
4178,0.1,eps
4186,1.0,eps
4232,10.0,eps
4261,100.0,eps
4887,0.01,eps
4895,0.1,eps
4916,1.0,eps
4955,10.0,eps
4972,100.0,eps
5571,0.01,eps
5578,0.1,eps
5612,1.0,eps
5647,10.0,eps
5667,100.0,eps
6294,0.01,eps
6301,0.1,eps
6340,1.0,eps
6387,10.0,eps
6418,100.0,eps
7045,0.01,eps
7056,0.1,eps
7081,1.0,eps
7132,10.0,eps
7188,100.0,eps
7803,0.01,eps
7818,0.1,eps
7849,1.0,eps
7881,10.0,eps
7921,100.0,eps
8476,0.01,eps
8490,0.1,eps
8516,1.0,eps
8541,10.0,eps
8568,100.0,eps
9088,0.01,eps
9107,0.1,eps
9134,1.0,eps
9159,10.0,eps
9187,100.0,eps
9813,0.01,eps
9820,0.1,eps
9849,1.0,eps
9898,10.0,eps
9927,100.0,eps
10512,0.01,eps
10519,0.1,eps
10542,1.0,eps
10593,10.0,eps
10627,100.0,eps
11253,0.01,eps
11260,0.1,eps
11271,1.0,eps
11352,10.0,eps
11408,100.0,eps
12034,0.01,eps
12041,0.1,eps
12052,1.0,eps
12121,10.0,eps
12181,100.0,eps
12808,0.01,eps
12815,0.1,eps
12832,1.0,eps
12926,10.0,eps
13021,100.0,eps
13647,0.01,eps
13654,0.1,eps
13677,1.0,eps
13767,10.0,eps
13844,100.0,eps
14470,0.01,eps
14477,0.1,eps
14505,1.0,eps
14607,10.0,eps
14709,100.0,eps
15335,0.01,eps
15342,0.1,eps
15360,1.0,eps
15491,10.0,eps
15575,100.0,eps
16201,0.01,eps
16208,0.1,eps
16233,1.0,eps
16302,10.0,eps
16361,100.0,eps
16987,0.01,eps
16994,0.1,eps
17044,1.0,eps
17102,10.0,eps
21102,100.0,eps
21700,0.01,eps
21707,0.1,eps
21743,1.0,eps
21797,10.0,eps
25654,100.0,eps
26281,0.01,eps
26288,0.1,eps
26306,1.0,eps
26355,10.0,eps
26400,100.0,eps
27026,0.01,eps
27034,0.1,eps
27067,1.0,eps
27100,10.0,eps
27130,100.0,eps
741,,window
1371,,window
2061,,window
2775,,window
3495,,window
4170,,window
4886,,window
5570,,window
6293,,window
7044,,window
7802,,window
8475,,window
9087,,window
9812,,window
10511,,window
11252,,window
12033,,window
12807,,window
13646,,window
14469,,window
15334,,window
16200,,window
16986,,window
21699,,window
26280,,window
27025,,window
27755,,window
