i,t,r_init,r_final,r_max,epoch_of_max,r_mean,r_std,loss_contribution_final,err_norm_final,epoch_below_1e-4,n_snapshots,rank_by_final_residual
0,0,0.851308735,0.000526882655,0.851308735,0,0.0271138155,0.148029777,6.16900738e-11,0,,32,469
1,0.00884887258,0.851604937,0.000433430768,0.851604937,0,0.0270325403,0.148097574,4.17471623e-11,4.22536293e-06,,32,572
2,0.0176977452,0.851867174,0.000349262578,0.851867174,0,0.0269591973,0.148157846,2.7107633e-11,7.63213355e-06,,32,684
3,0.0265466177,0.852095482,0.000274566623,0.852095482,0,0.0268939702,0.148210567,1.6752629e-11,1.03013638e-05,,32,817
4,0.0353954903,0.852289903,0.00021000142,0.852289903,0,0.0268374984,0.148255629,9.80013253e-12,1.23116922e-05,,32,948
5,0.0442443629,0.852450485,0.000157224769,0.852450485,0,0.0267913892,0.148292751,5.49325067e-12,1.37395807e-05,,32,1096
6,0.0530932355,0.85257728,0.000119793241,0.85257728,0,0.0267590897,0.148321326,3.18898236e-12,1.46596298e-05,,32,1208
7,0.0619421081,0.852670347,0.000102779502,0.852670347,0,0.026745516,0.148340479,2.34747243e-12,1.51449843e-05,,32,1255
8,0.0707909807,0.852729749,0.00010652652,0.852729749,0,0.0267510022,0.148350162,2.52175542e-12,1.52678544e-05,,32,1250
9,0.0796398532,0.852755556,0.000122743491,0.852755556,0,0.0267675189,0.148351831,3.34799215e-12,1.51001549e-05,,32,1199
10,0.0884887258,0.852747841,0.00014287374,0.852747841,0,0.026786779,0.148346986,4.53620127e-12,1.47142259e-05,,32,1138
11,0.0973375984,0.852706685,0.000162409024,0.852706685,0,0.0268044176,0.148336426,5.86148692e-12,1.41834979e-05,,32,1084
12,0.106186471,0.852632172,0.000179446191,0.852632172,0,0.0268185939,0.148320497,7.15576341e-12,1.35827636e-05,,32,1040
13,0.115035344,0.852524392,0.00019326121,0.852524392,0,0.026828609,0.14829934,8.29997675e-12,1.29873949e-05,,32,989
14,0.123884216,0.85238344,0.000203655839,0.85238344,0,0.0268342741,0.148273007,9.21682243e-12,1.24704975e-05,,32,965
15,0.132733089,0.852209417,0.00021068415,0.852209417,0,0.0268356445,0.148241506,9.863958e-12,1.20970623e-05,,32,943
16,0.141581961,0.852002428,0.000214533653,0.852002428,0,0.0268329053,0.148204821,1.02277085e-11,1.19153889e-05,,32,933
17,0.150430834,0.851762582,0.000215470834,0.851762582,0,0.0268263181,0.148162927,1.03172623e-11,1.19485718e-05,,32,931
18,0.159279706,0.851489997,0.000213815549,0.851489997,0,0.0268161962,0.148115787,1.01593532e-11,1.2190684e-05,,32,934
19,0.168128579,0.851184792,0.000209929554,0.851184792,0,0.026802894,0.14806336,9.79342614e-12,1.26105343e-05,,32,949
20,0.176977452,0.850847091,0.000204212552,0.850847091,0,0.0267868025,0.148005597,9.26728144e-12,1.31611654e-05,,32,962
21,0.185826324,0.850477026,0.000197102417,0.850477026,0,0.02676835,0.147942446,8.63319176e-12,1.37903035e-05,,32,974
22,0.194675197,0.850074731,0.000189077216,0.850074731,0,0.0267480039,0.147873846,7.94448746e-12,1.44480954e-05,,32,1005
23,0.203524069,0.849640347,0.000180656345,0.849640347,0,0.0267262717,0.147799731,7.2526033e-12,1.5091272e-05,,32,1034
24,0.212372942,0.849174017,0.000172396663,0.849174017,0,0.0267036973,0.14772003,6.60457988e-12,1.56846324e-05,,32,1057
25,0.221221815,0.848675892,0.000164877402,0.848675892,0,0.0266808466,0.147634668,6.04101282e-12,1.62010648e-05,,32,1075
26,0.230070687,0.848146126,0.000158666278,0.848146126,0,0.0266582744,0.147543574,5.5944417e-12,1.66209753e-05,,32,1092
27,0.23891956,0.847584876,0.00015426201,0.847584876,0,0.0266364687,0.147446687,5.28817063e-12,1.69315969e-05,,32,1110
28,0.247768432,0.846992308,0.000152019088,0.846992308,0,0.0266157781,0.147343974,5.13551181e-12,1.71263819e-05,,32,1116
29,0.256617305,0.84636859,0.000152077261,0.84636859,0,0.0265963433,0.147235442,5.13944298e-12,1.7204538e-05,,32,1115
30,0.265466177,0.845713894,0.00015432761,0.845713894,0,0.0265780641,0.147121138,5.29266914e-12,1.71707031e-05,,32,1109
31,0.27431505,0.845028398,0.00015843407,0.845028398,0,0.0265606204,0.147001152,5.57807879e-12,1.70347192e-05,,32,1093
32,0.283163923,0.844312284,0.000163899753,0.844312284,0,0.0265435368,0.146875603,5.96958421e-12,1.68114451e-05,,32,1078
33,0.292012795,0.84356574,0.000170147022,0.84356574,0,0.0265262593,0.146744623,6.43333535e-12,1.65205133e-05,,32,1064
34,0.300861668,0.842788955,0.000176583783,0.842788955,0,0.0265082204,0.146608348,6.92929612e-12,1.61859012e-05,,32,1046
35,0.30971054,0.841982128,0.000182645214,0.841982128,0,0.026488879,0.146466911,7.41317204e-12,1.5835131e-05,,32,1026
36,0.318559413,0.841145457,0.000187813866,0.841145457,0,0.0264677402,0.146320437,7.8386774e-12,1.54978784e-05,,32,1008
37,0.327408286,0.840279148,0.000191626164,0.840279148,0,0.0264443612,0.146169043,8.1601304e-12,1.52037833e-05,,32,993
38,0.336257158,0.83938341,0.000193672758,0.83938341,0,0.0264183521,0.146012835,8.33536385e-12,1.49794011e-05,,32,985
39,0.345106031,0.838458458,0.000193598107,0.838458458,0,0.026389375,0.145851913,8.32893937e-12,1.48445324e-05,,32,986
40,0.353954903,0.837504509,0.000191103208,0.837504509,0,0.0263571471,0.145686367,8.11565244e-12,1.48085759e-05,,32,996
41,0.362803776,0.836521787,0.000185955425,0.836521787,0,0.0263214502,0.145516276,7.68431554e-12,1.48678138e-05,,32,1017
42,0.371652648,0.835510519,0.000178011601,0.835510519,0,0.0262821525,0.145341705,7.0418067e-12,1.50044068e-05,,32,1043
43,0.380501521,0.834470937,0.000167266751,0.834470937,0,0.0262392564,0.145162695,6.21737024e-12,1.51872839e-05,,32,1070
44,0.389350394,0.833403276,0.000153955205,0.833403276,0,0.0261929965,0.144979246,5.26715668e-12,1.5374478e-05,,32,1111
45,0.398199266,0.832307778,0.000138764002,0.832307778,0,0.0261440457,0.144791281,4.27898853e-12,1.55160426e-05,,32,1152
46,0.407048139,0.831184687,0.000123280267,0.831184687,0,0.0260939492,0.144598565,3.37733872e-12,1.55567806e-05,,32,1198
47,0.415897011,0.830034254,0.000110807431,0.830034254,0,0.0260459151,0.144400568,2.72850817e-12,1.54383594e-05,,32,1233
48,0.424745884,0.82885673,0.00010703715,0.82885673,0,0.0260054651,0.144196344,2.54598921e-12,1.51007381e-05,,32,1247
49,0.433594757,0.827652376,0.000118033918,0.827652376,0,0.0259784821,0.143984882,3.0960013e-12,1.44830485e-05,,32,1214
50,0.442443629,0.826421453,0.000145479674,0.826421453,0,0.0259666038,0.143765935,4.70318571e-12,1.35241876e-05,,32,1127
51,0.451292502,0.825164228,0.000186826136,0.825164228,0,0.02596737,0.143539993,7.7564456e-12,1.2163498e-05,,32,1012
52,0.460141374,0.823880973,0.000239201029,0.823880973,0,0.0259780064,0.143307603,1.27149183e-11,1.03423865e-05,,32,874
53,0.468990247,0.822571963,0.000300854279,0.822571963,0,0.0259968264,0.143069118,2.01140661e-11,8.01012558e-06,,32,769
54,0.477839119,0.821237478,0.000370908922,0.821237478,0,0.0260229892,0.142824738,3.05718729e-11,5.15498023e-06,,32,651
55,0.486687992,0.819877803,0.000448974495,0.819877803,0,0.0260561254,0.142574582,4.47951328e-11,2.1949197e-06,,32,555
56,0.495536865,0.979352147,0.000207208545,0.979352147,0,0.0614037672,0.237013252,9.54119585e-12,1.35119406e-06,,32,952
57,0.504385737,0.984480469,0.000162014312,0.984480469,0,0.0616819177,0.238265561,5.83303049e-12,1.11815444e-06,,32,1086
58,0.51323461,0.989625825,0.000121199697,0.989625825,0,0.0619652388,0.239520933,3.26430368e-12,2.09140345e-06,,32,1205
59,0.522083482,0.994787168,8.46483526e-05,0.994787168,0,0.0622535558,0.240779143,1.59229858e-12,2.91947201e-06,1370,32,1325
60,0.530932355,0.999963456,5.23717706e-05,0.999963456,0,0.0625468145,0.242039936,6.09511634e-13,3.47520912e-06,1370,32,1441
61,0.539781227,1.00515365,2.51359265e-05,1.00515365,0,0.062845668,0.243302875,1.4040329e-13,3.76912514e-06,1370,32,1491
62,0.5486301,1.01035672,1.3129012e-05,1.01035672,0,0.0631596032,0.244565243,3.83046572e-14,3.82834792e-06,1370,32,1499
63,0.557478973,1.01557163,2.86558193e-05,1.01557163,0,0.0635000915,0.245823813,1.82479107e-13,3.68319562e-06,1370,32,1489
64,0.566327845,1.02079735,4.62495322e-05,1.02079735,0,0.0638431935,0.247084502,4.75337607e-13,3.36472006e-06,1370,32,1460
65,0.575176718,1.02603288,6.14746233e-05,1.02603288,0,0.0641846874,0.248348135,8.39806512e-13,2.90490811e-06,1370,32,1404
66,0.58402559,1.03127719,7.39987075e-05,1.03127719,0,0.0645241981,0.249614549,1.21684638e-12,2.33939127e-06,1370,32,1366
67,0.592874463,1.03652927,8.38691906e-05,1.03652927,0,0.064861707,0.250883487,1.56312025e-12,1.71789053e-06,1370,32,1329
68,0.601723336,1.04178813,9.12120813e-05,1.04178813,0,0.0651972695,0.252154676,1.84880973e-12,1.15086252e-06,1370,32,1304
69,0.610572208,1.04705276,9.61774239e-05,1.04705276,0,0.065530964,0.253427839,2.05557708e-12,9.67674465e-07,1370,32,1280
70,0.619421081,1.05232218,9.89243222e-05,1.05232218,0,0.0658628777,0.254702696,2.17467145e-12,1.4165497e-06,1370,32,1269
71,0.628269953,1.05759539,9.96157478e-05,1.05759539,0,0.0661931019,0.255978971,2.20517716e-12,2.15081315e-06,1370,32,1265
72,0.637118826,1.06287143,9.84165084e-05,1.06287143,0,0.06652173,0.257256387,2.15240203e-12,2.9598948e-06,1370,32,1274
73,0.645967698,1.06814932,9.54924902e-05,1.06814932,0,0.0668488567,0.258534668,2.02640349e-12,3.77695227e-06,1370,32,1287
