i,t,r_init,r_final,r_max,epoch_of_max,r_mean,r_std,loss_contribution_final,err_norm_final,epoch_below_1e-4,n_snapshots,rank_by_final_residual
0,0,0.851308735,0.912918273,1.32487658,26279,0.625304926,0.325431597,0.000185204394,0,,32,922
1,0.00884887258,0.851604937,0.920440233,1.3366222,26279,0.626131512,0.327846719,0.000188268938,0.0081097417,,32,919
2,0.0176977452,0.851867174,0.92795467,1.34829455,26279,0.626979277,0.330329785,0.000191355527,0.0162825593,,32,917
3,0.0265466177,0.852095482,0.935459879,1.35989436,26279,0.627848267,0.332878224,0.000194463375,0.0245187192,,32,914
4,0.0353954903,0.852289903,0.942954225,1.37142239,26279,0.628738564,0.335489424,0.000197591704,0.0328184682,,32,911
5,0.0442443629,0.852450485,0.950436144,1.38287944,26279,0.629650297,0.338160709,0.000200739747,0.0411820334,,32,908
6,0.0530932355,0.85257728,0.957904145,1.39426631,26279,0.630583675,0.340889294,0.000203906745,0.0496096223,,32,906
7,0.0619421081,0.852670347,0.965356809,1.40558386,26279,0.631538968,0.343672316,0.000207091948,0.0581014225,,32,903
8,0.0707909807,0.852729749,0.972792789,1.41683294,26279,0.632516319,0.346507204,0.000210294624,0.0666576022,,32,900
9,0.0796398532,0.852755556,0.980210812,1.42801447,26279,0.633515614,0.349391894,0.000213514052,0.0752783102,,32,897
10,0.0884887258,0.852747841,0.987609675,1.43912934,26279,0.634536745,0.352324348,0.000216749527,0.0839636757,,32,895
11,0.0973375984,0.852706685,0.99498825,1.4501785,26279,0.635579744,0.355302321,0.000220000359,0.0927138089,,32,892
12,0.106186471,0.852632172,1.00234548,1.46116292,26279,0.636644734,0.358323448,0.000223265879,0.101528801,,32,889
13,0.115035344,0.852524392,1.00968037,1.47208356,26279,0.637731885,0.361385343,0.000226545435,0.110408724,,32,887
14,0.123884216,0.85238344,1.01699202,1.48294143,26279,0.638841387,0.364485633,0.000229838393,0.119353631,,32,884
15,0.132733089,0.852209417,1.02427957,1.49373755,26279,0.639973446,0.367621989,0.000233144141,0.128363558,,32,881
16,0.141581961,0.852002428,1.03154224,1.50447296,26279,0.641128269,0.370792128,0.00023646209,0.137438523,,32,879
17,0.150430834,0.851762582,1.03877934,1.5151487,26279,0.64230607,0.373993829,0.00023979167,0.146578523,,32,876
18,0.159279706,0.851489997,1.04599021,1.52576586,26279,0.643507054,0.377224938,0.000243132335,0.155783542,,32,872
19,0.168128579,0.851184792,1.05317427,1.5363255,26279,0.644731426,0.38048337,0.000246483565,0.165053544,,32,868
20,0.176977452,0.850847091,1.06033102,1.54682875,26279,0.645979378,0.383767116,0.00024984486,0.174388476,,32,864
21,0.185826324,0.850477026,1.06746001,1.5572767,26279,0.647251096,0.387074245,0.000253215748,0.183788269,,32,862
22,0.194675197,0.850074731,1.07456084,1.56767049,26279,0.648546747,0.390402907,0.000256595779,0.19325284,,32,859
23,0.203524069,0.849640347,1.08163321,1.57801126,26279,0.649866486,0.393751336,0.000259984532,0.202782085,,32,857
24,0.212372942,0.849174017,1.08867683,1.58830017,26279,0.65121045,0.397117849,0.000263381608,0.21237589,,32,854
25,0.221221815,0.848675892,1.09569151,1.59853837,26279,0.652578756,0.40050085,0.000266786639,0.222034121,,32,852
26,0.230070687,0.848146126,1.10267709,1.60872705,26279,0.653971501,0.403898828,0.000270199279,0.231756634,,32,850
27,0.23891956,0.847584876,1.10963348,1.61886738,26279,0.655388761,0.407310358,0.000273619211,0.241543267,,32,847
28,0.247768432,0.846992308,1.11656063,1.62896058,26279,0.656830583,0.410734107,0.000277046144,0.251393846,,32,845
29,0.256617305,0.84636859,1.12345858,1.63900784,26279,0.658296993,0.414168825,0.000280479816,0.261308181,,32,842
30,0.265466177,0.845713894,1.13032736,1.64901038,26279,0.659787989,0.417613349,0.000283919988,0.271286072,,32,840
31,0.27431505,0.845028398,1.13716711,1.65896943,26279,0.661303547,0.421066594,0.000287366453,0.281327303,,32,838
32,0.283163923,0.844312284,1.14397798,1.6688862,26279,0.662843627,0.424527544,0.000290819029,0.291431649,,32,835
33,0.292012795,0.84356574,1.15076019,1.67876195,26279,0.664408174,0.42799524,0.00029427756,0.301598869,,32,833
34,0.300861668,0.842788955,1.15751399,1.68859791,26279,0.665997127,0.431468776,0.000297741918,0.311828713,,32,830
35,0.30971054,0.841982128,1.16423967,1.69839534,26279,0.667610423,0.434947285,0.000301212004,0.32212092,,32,828
