i,t,r_init,r_final,r_max,epoch_of_max,r_mean,r_std,loss_contribution_final,err_norm_final,epoch_below_1e-4,n_snapshots,rank_by_final_residual
0,0.299121022,0.888616764,0.000163448299,0.888616764,0,0.00365852222,0.0443446159,2.96837183e-12,2.11724623e-05,18250,401,2739
1,0.823576748,0.918274888,0.00032732052,0.918274888,0,0.00394290275,0.046106254,1.19043025e-11,0.000119429029,14050,401,407
2,0.344986349,0.897385959,0.000179134737,0.897385959,0,0.00360710695,0.0447973294,3.56547266e-12,2.87275954e-05,17050,401,2446
3,0.971327841,0.938982938,0.000367421043,0.938982938,0,0.00468897661,0.0472293484,1.49998025e-11,0.000158233337,16750,401,169
4,0.925395548,0.927560808,0.00031288707,0.927560808,0,0.00418416532,0.0466496489,1.08775909e-11,0.000143929968,16600,401,709
5,0.472695738,0.916380298,0.000270566373,0.916380298,0,0.00333696393,0.0458104358,8.13401801e-12,5.38438093e-05,2750,401,1096
6,0.396464467,0.906260061,0.000221781182,0.906260061,0,0.0034976083,0.0452634858,5.46521032e-12,3.79203008e-05,15150,401,1951
7,0.495090157,0.91851985,0.000275171234,0.91851985,0,0.00336221555,0.0459263223,8.41324537e-12,5.90199376e-05,3500,401,939
8,0.16415213,0.863423117,0.000194060906,0.863423117,0,0.00318696147,0.0430951565,4.18440393e-12,1.47350975e-05,,401,2251
9,0.604354978,0.923239607,0.000243319429,0.923239607,0,0.00381722866,0.0461930543,6.57826051e-12,8.35158653e-05,18850,401,1566
10,0.912394702,0.925293343,0.000314863741,0.925293343,0,0.00406789361,0.046532223,1.10154639e-11,0.00014023758,16600,401,639
11,0.368332416,0.901573083,0.000197138531,0.901573083,0,0.00356141018,0.0450161533,4.31817782e-12,3.28186631e-05,16400,401,2206
12,0.043380864,0.851328891,0.000244920438,0.851328891,0,0.0037725693,0.0424819278,6.66511345e-12,1.81487562e-05,,401,1540
13,0.895655453,0.922918313,0.000320732324,0.922918313,0,0.00393492134,0.0464072783,1.14299137e-11,0.000135598861,16600,401,525
14,0.800756752,0.918186007,0.000316421747,0.918186007,0,0.00398510417,0.0460784321,1.11247469e-11,0.000115317932,14900,401,604
15,0.384274781,0.904282744,0.000211124625,0.904282744,0,0.00352613513,0.0451587909,4.95262301e-12,3.56117636e-05,15650,401,1993
16,0.787712276,0.918333344,0.000308003679,0.918333344,0,0.00400392241,0.0460731486,1.05406963e-11,0.000113368217,15000,401,741
17,0.315486193,0.89180619,0.000164996988,0.89180619,0,0.00364809731,0.0445083962,3.02488957e-12,2.38669734e-05,18250,401,2669
18,0.290566772,0.886933369,0.000164525831,0.886933369,0,0.00365969688,0.0442585773,3.00763879e-12,1.979292e-05,18250,401,2685
19,0.7818591,0.918437877,0.000303686116,0.918437877,0,0.00401103605,0.0460728644,1.02472508e-11,0.000112348522,15150,401,761
20,0.771657228,0.918668411,0.000295823465,0.918668411,0,0.00402150152,0.046075029,9.7235025e-12,0.000110683304,15600,401,795
21,0.390958577,0.905377552,0.000216988431,0.905377552,0,0.00351061491,0.0452166907,5.23155322e-12,3.68769602e-05,15600,401,1970
22,0.709109783,0.920840581,0.000246607143,0.920840581,0,0.00402950082,0.0461327991,6.75723144e-12,0.000101526421,16200,401,1513
23,0.525784254,0.920793071,0.000273802157,0.920793071,0,0.00349388069,0.0460465945,8.32973572e-12,6.62740028e-05,15700,401,1003
24,0.244128212,0.877784203,0.000185393787,0.877784203,0,0.00360292581,0.0437962381,3.81898405e-12,1.30389685e-05,,401,2366
25,0.61420542,0.923235957,0.000239204769,0.923235957,0,0.00384931452,0.0461970795,6.35765793e-12,8.55761303e-05,18850,401,1636
26,0.204334259,0.870269227,0.000202897575,0.870269227,0,0.00345049814,0.0434245467,4.57415844e-12,1.08839139e-05,,401,2091
27,0.274673045,0.883792102,0.000169395206,0.883792102,0,0.0036530238,0.0440987998,3.18830397e-12,1.73032537e-05,18900,401,2580
28,0.0304381531,0.851050193,0.000341939117,0.851050193,0,0.00409366985,0.0424571287,1.29913733e-11,1.44271533e-05,,401,211
29,0.889783204,0.922219858,0.000323006261,0.922219858,0,0.00389402367,0.0463698174,1.15925605e-11,0.000133998577,8800,401,488
30,0.15943718,0.862687988,0.000190323149,0.862687988,0,0.0031492352,0.043060516,4.02476679e-12,1.53952616e-05,,401,2302
31,0.0225370266,0.850992398,0.000407989465,0.850992398,0,0.00430604345,0.0424473088,1.84950448e-11,1.15088689e-05,,401,118
32,0.812288284,0.918169695,0.000322674899,0.918169695,0,0.00396518918,0.0460892352,1.15687878e-11,0.000117405534,14550,401,494
33,0.887426198,0.92195836,0.000324043638,0.92195836,0,0.00387888654,0.0463556331,1.16671422e-11,0.000133587413,3450,401,468
34,0.719491541,0.920441395,0.000253572194,0.920441395,0,0.00403516618,0.0461204911,7.14431749e-12,0.000103014009,16200,401,1401
35,0.999229908,0.948902149,0.000479990685,0.948902149,0,0.00506247068,0.0477264661,2.55990064e-11,0.000168537868,,401,46
