epoch,loss,residual_loss,ic_loss,grad_norm,update_norm,lr,layer_1_grad_norm,layer_2_grad_norm,layer_3_grad_norm,layer_4_grad_norm,layer_5_grad_norm,layer_6_grad_norm
0,0.3191849887371063,0.3191849887371063,0.0,5.011946984414074,0.14224162697792053,0.001,1.2404339006580944,1.85608645145726,1.9445299773099052,1.6844594194705005,1.6239418105613745,1.1079536789221587
10,0.06413454562425613,0.06413454562425613,0.0,1.3526404828217586,0.030351510271430016,0.00099955,0.24562730938551355,0.39110388964784415,0.4424015740127742,0.4127295650019216,0.459410335842548,0.33305934607941146
20,0.02674543485045433,0.02674543485045433,0.0,0.6198124076507671,0.026422396302223206,0.0009991,0.13488409115218122,0.21596294540224217,0.23240436359761726,0.23456230626351102,0.27044230745616743,0.21301453160584757
30,0.009847810491919518,0.009847810491919518,0.0,0.3924657888673612,0.016946615651249886,0.00099865,0.06957581824931965,0.09477419982665194,0.10284849435393144,0.1058835684659884,0.13932811572870676,0.12126236374486306
40,0.0032788102980703115,0.0032788102980703115,0.0,0.18123172022841386,0.015237512066960335,0.0009982,0.04140720321349806,0.06404402978314239,0.06668222107456838,0.07080174149486894,0.08154325428073254,0.06706042498456244
50,0.0008786733960732818,0.0008786733960732818,0.0,0.08971331834758087,0.013238929212093353,0.00099775,0.014451963850849672,0.020920229684098245,0.024669031088599767,0.022118213457292146,0.028492455753567736,0.023926865056850332
60,0.00016096941544674337,0.00016096941544674337,0.0,0.026953617419490646,0.008712761104106903,0.0009973,0.004515704584621767,0.006791053670450762,0.007375978081001757,0.006608896681767857,0.0077791671709493745,0.006698966559825774
70,5.423950278782286e-05,5.423950278782286e-05,0.0,0.021756859907570005,0.004707484971731901,0.00099685,0.0029949843929480474,0.004788670250101939,0.005822867353901617,0.005684649334725923,0.007493244804740026,0.005866598231787456
80,5.6616743677295744e-05,5.6616743677295744e-05,0.0,0.023814852316357896,0.0014936764491721988,0.0009964,0.005113590835223984,0.00814012242043016,0.008209754526381327,0.008466452241767208,0.00984220689160122,0.007903199352310698
90,3.386301250429824e-05,3.386301250429824e-05,0.0,0.013810841271658315,0.0016483428189530969,0.00099595,0.0020325029350208006,0.0029324019790878723,0.00338412644710413,0.003866614505832737,0.00494592179393411,0.004634117530548172
100,1.4991190255386755e-05,1.4991190255386755e-05,0.0,0.0033958217680387895,0.0014709781389683485,0.0009955,0.0008636300598390689,0.001134834669590686,0.0011997657371532007,0.0009369844395390648,0.0009485332677308239,0.0008863885263169819
110,1.3793419384455774e-05,1.3793419384455774e-05,0.0,0.004717908966108475,0.0006918931030668318,0.00099505,0.0008991084526842659,0.001423583420343832,0.001478813718780944,0.0016276236234311593,0.0019286620695602014,0.0016814456050248793
120,1.2257415619387757e-05,1.2257415619387757e-05,0.0,0.0020853178238374173,0.00048152482486329973,0.0009946,0.000466517889834216,0.0006812816634054764,0.0007954044011793591,0.0008014795071234159,0.0009194868676583359,0.0007003262392358112
130,1.1593953786359634e-05,1.1593953786359634e-05,0.0,0.0010672716535201094,0.00040759536204859614,0.00099415,0.0003232514252248495,0.0004331979963309951,0.0004597991773611521,0.00043744486750067437,0.00044390399029959173,0.0003493718614161514
140,1.1020875717804302e-05,1.1020875717804302e-05,0.0,0.0013485671406412803,0.000372565642464906,0.0009937000000000001,0.00019643621102746105,0.0003517727774817715,0.00035632924892946147,0.00037328717333496436,0.000490901799033236,0.0004338555560510465
150,1.0503320481802803e-05,1.0503320481802803e-05,0.0,0.0003447513995103201,0.0003551327099557966,0.00099325,0.00012512551104780107,0.00015087819462218064,0.0001597488824998225,0.00012531136976841404,0.00011327570671470239,9.05212121609512e-05
160,1.0100826330017298e-05,1.0100826330017298e-05,0.0,0.0005039298050177018,0.000354520307155326,0.0009928,0.00011364678680600785,0.0001503555489690107,0.0001558686419409344,0.00017274496561646153,0.00017891070608348384,0.0001537629848610819
170,9.689641046861652e-06,9.689641046861652e-06,0.0,0.00030721909637790665,0.0003581847413443029,0.00099235,9.551222620059439e-05,0.00011441145333823796,0.00011903975770047468,0.0001057615602723385,9.892634356427433e-05,8.64856463696352e-05
180,9.300375495513435e-06,9.300375495513435e-06,0.0,0.0002915012262180582,0.0003548687673173845,0.0009919,7.937066267403416e-05,0.00011877236912517873,0.00011611737102927592,0.00010118599906678033,0.00010384137593805861,8.874482096813918e-05
190,8.924028406909201e-06,8.924028406909201e-06,0.0,0.0002534933078490321,0.00035125715658068657,0.00099145,8.29743514462496e-05,0.00010607689442185387,0.00011071744467449555,9.498556058424978e-05,8.8070552236331e-05,7.542223879073958e-05
200,8.561698450648692e-06,8.561698450648692e-06,0.0,0.0002494544352216572,0.0003493135154712945,0.000991,7.695409201521284e-05,0.00010023604318721701,0.00010379747579583925,9.56697997773221e-05,8.634533625263452e-05,7.437682909140364e-05
210,8.212157808884513e-06,8.212157808884513e-06,0.0,0.00024346028998620676,0.00034712403430603445,0.00099055,7.622624013389416e-05,9.639501631361639e-05,0.0001020755297621288,9.222487448317575e-05,8.428842323239225e-05,7.290950116034744e-05
220,7.875530172896106e-06,7.875530172896106e-06,0.0,0.00023168795585178396,0.0003444046888034791,0.0009901,7.16465991535024e-05,9.32869532410255e-05,9.849336156161227e-05,8.7647363458357e-05,8.076381254316791e-05,7.023269318764005e-05
230,7.551620456069941e-06,7.551620456069941e-06,0.0,0.00022332553326027198,0.00034125286038033664,0.0009896500000000001,6.8139609800591e-05,9.04222745061219e-05,9.539639603086815e-05,8.466227934215489e-05,7.845318865183758e-05,6.845542527529598e-05
240,7.240133982122643e-06,7.240133982122643e-06,0.0,0.00021706809824690185,0.00033779500517994165,0.0009892,6.615322807646223e-05,8.727604895701388e-05,9.281571476766254e-05,8.24818401842847e-05,7.651751931707487e-05,6.694559566297132e-05
250,6.9408142735483125e-06,6.9408142735483125e-06,0.0,0.00021087324285326082,0.00033410495962016284,0.00098875,6.339328416405666e-05,8.42348790130783e-05,8.976648981411002e-05,8.042607694361373e-05,7.458673790324e-05,6.545752604352502e-05
260,6.653327545791399e-06,6.653327545791399e-06,0.0,0.00020467746391132768,0.00033022701973095536,0.0009883,6.0842778704209924e-05,8.141542301879869e-05,8.695802908677077e-05,7.827755706438634e-05,7.269062576194164e-05,6.397990515012467e-05
270,6.377331828844035e-06,6.377331828844035e-06,0.0,0.00019851541952217047,0.00032622055732645094,0.00098785,5.8541327782882204e-05,7.878964991397724e-05,8.436531097513067e-05,7.608844288533025e-05,7.081358225058572e-05,6.249692674821016e-05
280,6.112439677963266e-06,6.112439677963266e-06,0.0,0.00019255490801487027,0.00032208496122621,0.0009874,5.625631026034876e-05,7.627657999098265e-05,8.180524425042202e-05,7.394787983962127e-05,6.897923437581477e-05,6.104167152230315e-05
290,5.858287750015734e-06,5.858287750015734e-06,0.0,0.0001868114185079626,0.00031782619771547616,0.0009869500000000001,5.396398075414287e-05,7.382819976128897e-05,7.928141212705061e-05,7.18942530619293e-05,6.721293592401068e-05,5.9633073136802925e-05
300,5.614478595816763e-06,5.614478595816763e-06,0.0,0.00018131417675138376,0.0003134899016004056,0.0009865,5.185494048359489e-05,7.150731437293386e-05,7.68644331760402e-05,6.993487864258066e-05,6.550310803998204e-05,5.8255532725437125e-05
310,5.380621587391943e-06,5.380621587391943e-06,0.0,0.00017600969096622188,0.00030907950713299215,0.00098605,4.9820385096233914e-05,6.928244219485505e-05,7.451746074595877e-05,6.804776415939145e-05,6.384548541126962e-05,5.690870904372343e-05
320,5.15635110787116e-06,5.15635110787116e-06,0.0,0.00017093828824981321,0.0003046224301215261,0.0009856,4.790335599848086e-05,6.714385189241148e-05,7.226193021713961e-05,6.622990696124511e-05,6.224609041003556e-05,5.560005242792524e-05
330,4.941276074532652e-06,4.941276074532652e-06,0.0,0.00016604537962634092,0.00030013214563950896,0.00098515,4.60903490466606e-05,6.507963717236774e-05,7.010939808910488e-05,6.447491552877074e-05,6.070379367804589e-05,5.432643146266539e-05
