iteration,loss,phase,window
0,0.06483929518410414,adam,0
1,0.06074526189773489,adam,0
2,0.05266330392344232,adam,0
3,0.04146160218022243,adam,0
4,0.03221810738379134,adam,0
5,0.031029880992118054,adam,0
6,0.03509249721470106,adam,0
7,0.037228863810427594,adam,0
8,0.036120244959693126,adam,0
9,0.03289368012148705,adam,0
10,0.028766330517268842,adam,0
11,0.024731024439293123,adam,0
12,0.021469895930784966,adam,0
13,0.01927257145125818,adam,0
14,0.018042763384912373,adam,0
15,0.017388997617446188,adam,0
16,0.01677626180284557,adam,0
17,0.015739314398224086,adam,0
18,0.014080374842933388,adam,0
19,0.011931945311683585,adam,0
20,0.009673628824664108,adam,0
21,0.00775274331965383,adam,0
22,0.006459289304960601,adam,0
23,0.005759067599126391,adam,0
24,0.005322430071277013,adam,0
25,0.004755784936409347,adam,0
26,0.0038483409048852817,adam,0
27,0.0026670800133523085,adam,0
28,0.0014939912688937888,adam,0
29,0.0006614121755845563,adam,0
30,0.00034363416827178577,adam,0
31,0.00046324018438143445,adam,0
32,0.0007218390682113888,adam,0
33,0.0008809574091848523,adam,0
34,0.0008788710354700267,adam,0
35,0.0007914772263029212,adam,0
36,0.0007349802665774425,adam,0
37,0.0007812243175437546,adam,0
38,0.0009237860473941678,adam,0
39,0.0010926644186732858,adam,0
40,0.0011937109235281883,adam,0
41,0.0011581848837653676,adam,0
42,0.0009826823838979416,adam,0
43,0.0007383050871169393,adam,0
44,0.0005308125664781026,adam,0
45,0.00042115190582921245,adam,0
46,0.00038326375055069327,adam,0
47,0.00035172713752713565,adam,0
48,0.0002894538897489896,adam,0
49,0.00020219711182801014,adam,0
50,0.00011662917487169082,adam,0
51,6.108292870328559e-05,adam,0
52,5.164751374461768e-05,adam,0
53,8.372283528290015e-05,adam,0
54,0.00012535170102015753,adam,0
55,0.00014937564677455602,adam,0
56,0.00014784799296277878,adam,0
57,0.00012998876875998277,adam,0
58,0.00011314466997638696,adam,0
59,0.00010938262476041632,adam,0
60,0.00011676556306178776,adam,0
61,0.00012485405342713908,adam,0
62,0.00012492291293786037,adam,0
63,0.00011391326435747954,adam,0
64,9.376005979035294e-05,adam,0
65,7.04038411585949e-05,adam,0
66,5.2039582911621005e-05,adam,0
67,4.393205411314658e-05,adam,0
68,4.320592759588702e-05,adam,0
69,4.166796104219648e-05,adam,0
70,3.4416365989864016e-05,adam,0
71,2.3769195564526686e-05,adam,0
72,1.5383722165113413e-05,adam,0
73,1.2535777411997774e-05,adam,0
74,1.4672423708592888e-05,adam,0
75,1.9105385786539095e-05,adam,0
76,2.2362899105420534e-05,adam,0
77,2.181733167529494e-05,adam,0
78,1.7950109472393545e-05,adam,0
79,1.4248252290565024e-05,adam,0
80,1.3505818898822494e-05,adam,0
81,1.4834631915830325e-05,adam,0
82,1.5368516362130648e-05,adam,0
83,1.3713804334176073e-05,adam,0
84,1.0643214583299336e-05,adam,0
85,7.616350390333383e-06,adam,0
86,5.77046886293265e-06,adam,0
87,5.3526583568790505e-06,adam,0
88,6.072988581557183e-06,adam,0
89,6.408319972213639e-06,adam,0
90,5.671147465889305e-06,adam,0
91,4.44593886973176e-06,adam,0
92,3.792148950982259e-06,adam,0
93,4.018132953409994e-06,adam,0
94,4.5690526905811765e-06,adam,0
95,4.808463066927463e-06,adam,0
96,4.478663236087846e-06,adam,0
97,3.7161088580197435e-06,adam,0
98,2.956380463144632e-06,adam,0
99,2.619456083766137e-06,adam,0
100,2.672644723553201e-06,adam,0
101,2.693949137087106e-06,adam,0
102,2.4153301084332137e-06,adam,0
103,1.9716027326665176e-06,adam,0
104,1.6442454222084316e-06,adam,0
105,1.5795696312842934e-06,adam,0
106,1.738088914825452e-06,adam,0
107,1.9371859763941602e-06,adam,0
108,1.975370542113627e-06,adam,0
109,1.8335277004328677e-06,adam,0
110,1.6906401215792337e-06,adam,0
111,1.6816881058414718e-06,adam,0
112,1.7471178097005237e-06,adam,0
113,1.760502696034986e-06,adam,0
114,1.674682869385763e-06,adam,0
115,1.5176390656302038e-06,adam,0
116,1.3569948100558954e-06,adam,0
117,1.2710740897360876e-06,adam,0
