iteration,eps,kind
30,0.01,eps
52,0.1,eps
87,1.0,eps
1430,10.0,eps
2065,0.01,eps
2089,0.1,eps
2113,1.0,eps
2159,10.0,eps
2793,0.01,eps
2819,0.1,eps
2842,1.0,eps
2864,10.0,eps
3506,0.01,eps
3536,0.1,eps
3569,1.0,eps
3600,10.0,eps
4233,0.01,eps
4255,0.1,eps
4292,1.0,eps
4332,10.0,eps
4874,0.01,eps
4901,0.1,eps
4932,1.0,eps
4973,10.0,eps
5586,0.01,eps
5607,0.1,eps
5644,1.0,eps
5671,10.0,eps
6312,0.01,eps
6342,0.1,eps
6371,1.0,eps
6392,10.0,eps
7030,0.01,eps
7077,0.1,eps
7103,1.0,eps
7124,10.0,eps
7734,0.01,eps
7788,0.1,eps
7839,1.0,eps
9753,10.0,eps
10390,0.01,eps
10429,0.1,eps
10465,1.0,eps
14465,10.0,eps
15106,0.01,eps
15126,0.1,eps
15162,1.0,eps
19162,10.0,eps
19724,0.01,eps
19743,0.1,eps
19765,1.0,eps
19803,10.0,eps
20391,0.01,eps
20415,0.1,eps
20442,1.0,eps
20462,10.0,eps
21066,0.01,eps
21093,0.1,eps
21113,1.0,eps
21141,10.0,eps
21789,0.01,eps
21816,0.1,eps
21847,1.0,eps
21870,10.0,eps
22487,0.01,eps
22521,0.1,eps
22558,1.0,eps
22590,10.0,eps
23234,0.01,eps
23269,0.1,eps
23321,1.0,eps
23373,10.0,eps
24016,0.01,eps
24049,0.1,eps
24086,1.0,eps
24140,10.0,eps
24783,0.01,eps
24816,0.1,eps
24856,1.0,eps
28809,10.0,eps
29445,0.01,eps
29482,0.1,eps
29514,1.0,eps
33468,10.0,eps
34110,0.01,eps
34142,0.1,eps
34169,1.0,eps
38111,10.0,eps
38756,0.01,eps
38792,0.1,eps
38818,1.0,eps
39776,10.0,eps
40426,0.01,eps
40476,0.1,eps
40519,1.0,eps
44519,10.0,eps
45060,0.01,eps
45112,0.1,eps
45152,1.0,eps
49152,10.0,eps
49797,0.01,eps
49840,0.1,eps
49869,1.0,eps
52802,10.0,eps
53448,0.01,eps
53488,0.1,eps
53509,1.0,eps
55451,10.0,eps
2056,,window
2778,,window
3490,,window
4216,,window
4859,,window
5571,,window
6297,,window
7017,,window
7715,,window
10378,,window
15091,,window
19707,,window
20378,,window
21047,,window
21766,,window
22469,,window
23216,,window
23998,,window
24765,,window
29434,,window
34094,,window
38737,,window
40401,,window
45041,,window
49777,,window
53428,,window
56076,,window
