window,eps,adam_steps,min_w_final,threshold_met
0,0.01,30,0.9947234746709606,True
0,0.1,22,0.9919744566987317,True
0,1.0,35,0.9916944385906751,True
0,10.0,1343,0.9900078515726733,True
1,0.01,9,0.9908637610753454,True
1,0.1,24,0.9967417548108961,True
1,1.0,24,0.9901517326261122,True
1,10.0,46,0.9902310613167757,True
2,0.01,15,0.9955179736972688,True
2,0.1,26,0.9952810655527871,True
2,1.0,23,0.9977250126300106,True
2,10.0,22,0.9925327303060328,True
3,0.01,16,0.9946681575648556,True
3,0.1,30,0.9913847910280753,True
3,1.0,33,0.9922831248847136,True
3,10.0,31,0.9904862565605256,True
4,0.01,17,0.9905311571073805,True
4,0.1,22,0.9969662380296554,True
4,1.0,37,0.9908173730243043,True
4,10.0,40,0.9909137902302659,True
5,0.01,15,0.9950068827477144,True
5,0.1,27,0.9940600231037472,True
5,1.0,31,0.9903327833723882,True
5,10.0,41,0.9908857533568669,True
6,0.01,15,0.998416580235117,True
6,0.1,21,0.9946166853979264,True
6,1.0,37,0.9938199070198992,True
6,10.0,27,0.992626264784608,True
7,0.01,15,0.9944013855752306,True
7,0.1,30,0.9920224731318287,True
7,1.0,29,0.9938258180697195,True
7,10.0,21,0.9944335774214242,True
8,0.01,13,0.993069971370393,True
8,0.1,47,0.9911193992759783,True
8,1.0,26,0.9900515865324875,True
8,10.0,21,0.9911795621880582,True
9,0.01,19,0.9932420918133685,True
9,0.1,54,0.9910537466267808,True
9,1.0,51,0.9909878975275355,True
9,10.0,1914,0.9900168646332422,True
10,0.01,12,0.9937997343173635,True
10,0.1,39,0.9907234851199882,True
10,1.0,36,0.9919713461228844,True
10,10.0,4000,0.9694746941574612,False
11,0.01,15,0.9932472294767002,True
11,0.1,20,0.9908869427490601,True
11,1.0,36,0.9926927457733082,True
11,10.0,4000,0.9684508209709305,False
12,0.01,17,0.9980478471467911,True
12,0.1,19,0.9920227840537496,True
12,1.0,22,0.9912610891135551,True
12,10.0,38,0.9909951902345678,True
13,0.01,13,0.9933826839300006,True
13,0.1,24,0.993392548495859,True
13,1.0,27,0.9984212351072945,True
13,10.0,20,0.9901463129621499,True
14,0.01,19,0.9917703533146773,True
14,0.1,27,0.9961916077844267,True
14,1.0,20,0.9930873641490731,True
14,10.0,28,0.9915975713001163,True
15,0.01,23,0.995677713308228,True
15,0.1,27,0.9919077254466193,True
15,1.0,31,0.9926270598443877,True
15,10.0,23,0.9923399797839026,True
16,0.01,18,0.9944583452001725,True
16,0.1,34,0.9921554524901534,True
16,1.0,37,0.9921378597073127,True
16,10.0,32,0.991193356820322,True
17,0.01,18,0.9946613007713162,True
17,0.1,35,0.9923897212170991,True
17,1.0,52,0.9908525634698262,True
17,10.0,52,0.9904600129444695,True
18,0.01,18,0.993203873828242,True
18,0.1,33,0.9930364182835908,True
18,1.0,37,0.9915281846965441,True
18,10.0,54,0.9903939233791882,True
19,0.01,18,0.9907826416344254,True
19,0.1,33,0.9929533830439324,True
19,1.0,40,0.9913638568995521,True
19,10.0,3953,0.9900778647484032,True
20,0.01,11,0.9914509318638277,True
20,0.1,37,0.9934287842078556,True
20,1.0,32,0.9901716491985845,True
20,10.0,3954,0.9906237458205214,True
21,0.01,16,0.9942495812251696,True
21,0.1,32,0.9926633259456293,True
21,1.0,27,0.991656332932391,True
21,10.0,3942,0.9916557358589668,True
22,0.01,19,0.9900042329431935,True
22,0.1,36,0.9932941370285184,True
22,1.0,26,0.992251007361641,True
22,10.0,958,0.9900032153038194,True
23,0.01,25,0.992707879330973,True
23,0.1,50,0.9915181258543229,True
23,1.0,43,0.9908294663995564,True
23,10.0,4000,0.9175440757095005,False
24,0.01,19,0.9909552753854919,True
24,0.1,52,0.9916617311190665,True
24,1.0,40,0.9903825392279113,True
24,10.0,4000,0.9360318928303437,False
25,0.01,20,0.9936155219776444,True
25,0.1,43,0.9922603239979215,True
25,1.0,29,0.9919291102382521,True
25,10.0,2933,0.9920526448800867,True
26,0.01,20,0.9909243326164923,True
26,0.1,40,0.9943164516049059,True
26,1.0,21,0.9949696054482147,True
26,10.0,1942,0.9902507342109431,True
