epoch,loss,residual_loss,ic_loss,grad_norm,update_norm,lr,layer_1_grad_norm,layer_2_grad_norm,layer_3_grad_norm,layer_4_grad_norm,layer_5_grad_norm
0,0.06483929518410414,0.23700097301741815,0.0,0.4787977169872922,0.1062048737759181,0.001,0.04572144812038088,0.06461413682983631,0.06888206124539947,0.07068742869073359,0.03413922569196719
10,0.028766330517268842,0.03763445035632455,0.0,0.19035636242704174,0.05273794294687116,0.001,0.06978248260383742,0.0889578499550658,0.0844003673175389,0.07935080379403166,0.05261604403815275
20,0.009673628824664108,0.010450492749222828,0.0,0.1722502685660052,0.039911249036520005,0.001,0.021476669009348727,0.023744254558392682,0.023956660704861184,0.028808875710030466,0.02788741956377696
30,0.00034363416827178577,0.0003527915582136262,0.0,0.045625076816175794,0.03442997283699326,0.001,0.0039308665768924625,0.005750876624826779,0.007032363273210122,0.008832309717020025,0.008913526819637753
40,0.0011937109235281883,0.0013151864478718543,0.0,0.0795761184658224,0.0122937926466636,0.001,0.015429205432267484,0.01684225763480812,0.015498262677206245,0.01742787233466151,0.017353275023992983
50,0.00011662917487169082,0.00011766006899453874,0.0,0.03053715287612953,0.015776536913519802,0.001,0.009212325916937419,0.011236819309522458,0.008848440294598867,0.007863221783639131,0.0054776748334827265
60,0.00011676556306178776,0.00012835048032908505,0.0,0.021867826327021774,0.005169933481988204,0.001,0.001634600256071506,0.002406725897324085,0.003277135479064632,0.0044762668367373665,0.004453491328542639
70,3.4416365989864016e-05,3.533551016322014e-05,0.0,0.01216442885769163,0.004837612899903317,0.001,0.004153835239040791,0.005065041603097532,0.0038696532008324763,0.0034130369244758027,0.0026614535455617098
80,1.3505818898822494e-05,1.364428684868455e-05,0.0,0.005720381736712173,0.0027108491076128977,0.001,0.0007396383515209982,0.000841853881522722,0.0008685526027343122,0.0011796567478322075,0.0012342551223689458
90,5.671147465889305e-06,5.926361515608924e-06,0.0,0.004249009776645328,0.0017017790130863031,0.001,0.0015055674415940731,0.0018350591566426606,0.0013751712048084613,0.001191429548972993,0.0009080484029552673
100,2.672644723553201e-06,2.7276338278417114e-06,0.0,0.003362872712690686,0.0012804139134507326,0.001,0.00042561429223981025,0.0005831683757445077,0.0006113553539064742,0.0007163542591438517,0.0006836675566111391
110,1.6906401215792337e-06,1.7124018390922752e-06,0.0,0.0007992438375324005,0.0005140293388763219,0.001,0.00029458099834721974,0.00032502852333257627,0.00023308272504501062,0.0002104281506180269,0.00019290847699505694
120,1.234422360564194e-06,1.2459796108875721e-06,0.0,0.0013379710751148495,0.0005505105197028943,0.001,0.00022103251868419894,0.00030031369591277415,0.0002823085966872356,0.0003001464565958414,0.0002705517613949571
130,1.2190805446697386e-06,1.2303508221906879e-06,0.0,0.0007904741781529063,0.00022121489524103092,0.001,0.00010365730028913575,0.0001387328183821647,0.00014081857445042713,0.0001744576996594015,0.00019606165639557757
140,1.1048986608280984e-06,1.114143204877497e-06,0.0,0.00027523897448965284,0.00015091436939766294,0.001,6.146087908008687e-05,7.564190940392848e-05,6.45290100424137e-05,6.500637567925301e-05,5.4593414848044104e-05
150,1.093252827912291e-06,1.1023028828153451e-06,0.0,0.00011195099478218536,0.00013515283617600965,0.001,4.2419922448307295e-05,4.299273249158983e-05,3.293741191571541e-05,3.2396457933958385e-05,2.2034239959851522e-05
160,1.092964346842974e-06,1.1020096354028469e-06,0.0,8.769902509081711e-05,5.260390348961089e-05,0.001,3.74180911560566e-05,4.199078015699906e-05,3.059123135986764e-05,2.5929494917342337e-05,1.933505054254008e-05
170,1.0864889939933423e-06,1.0954268165722739e-06,0.0,7.581939906289987e-05,5.934739444725519e-05,0.001,2.3964780033898973e-05,2.7804610933197976e-05,2.228813990308477e-05,2.0388065860185587e-05,1.4336651229805025e-05
180,1.0846298934978045e-06,1.0935369610408873e-06,0.0,5.878358128499286e-05,4.393521234829084e-05,0.001,7.969678405525669e-06,1.1070303535982238e-05,1.0733503568159472e-05,1.242932452164996e-05,1.3732566648878702e-05
190,1.082847563833449e-06,1.0917253980548993e-06,0.0,3.385997962247535e-05,4.0582940762092534e-05,0.001,8.451830733247426e-06,1.0546122356129123e-05,8.586313622554568e-06,8.254489303451182e-06,6.82102980453589e-06
200,1.0809210959560716e-06,1.089767153833061e-06,0.0,2.01035055049017e-05,4.209738546789277e-05,0.001,7.835986100174966e-06,8.309888852436023e-06,5.805064394903042e-06,5.177029001110637e-06,3.6712444501193315e-06
210,1.0791222738248826e-06,1.0879387701117603e-06,0.0,1.7023619984787114e-05,4.145348419220582e-05,0.001,5.257882039048284e-06,5.179991690531412e-06,3.457747010589257e-06,3.4759720773880513e-06,3.276637430117025e-06
220,1.077332498678106e-06,1.0861196507809737e-06,0.0,1.2522375709513205e-05,4.2816886993378504e-05,0.001,5.612797717100789e-06,5.195822271770854e-06,3.1353187003344174e-06,3.1578511352635668e-06,2.143167339361881e-06
230,1.0754809160330431e-06,1.0842377128020777e-06,0.0,1.1521074514248526e-05,4.387277144623614e-05,0.001,5.854088646765673e-06,5.142500357904467e-06,2.7846438641487846e-06,2.689920138447781e-06,1.6843282023201172e-06
240,1.0735998340137325e-06,1.0823258691566233e-06,0.0,1.1036661043487875e-05,4.471798705244648e-05,0.001,5.473241951889823e-06,4.816632835569835e-06,2.601894503469961e-06,2.569148713215451e-06,1.6855718934820598e-06
250,1.071675125716072e-06,1.0803697338457157e-06,0.0,1.0866888691922966e-05,4.5803248842946e-05,0.001,5.644252230554891e-06,4.881977876954268e-06,2.583383018649533e-06,2.601347913719545e-06,1.6427518033007049e-06
260,1.0697104891589478e-06,1.078373076880484e-06,0.0,1.0855647320688317e-05,4.673655371185786e-05,0.001,5.715856487956271e-06,4.90797919826933e-06,2.5732704355505058e-06,2.607984674578521e-06,1.6471473959821554e-06
270,1.0677053192365565e-06,1.076335287871996e-06,0.0,1.080610962273778e-05,4.7758512817748335e-05,0.001,5.659015997731394e-06,4.880184154426963e-06,2.579252083004058e-06,2.6145341110668613e-06,1.6597928677897263e-06
280,1.065659402270612e-06,1.0742561500437135e-06,0.0,1.0859831936892779e-05,4.8703349213701384e-05,0.001,5.664839662828187e-06,4.875532555886307e-06,2.566426436448583e-06,2.5924461452587456e-06,1.6469915320418263e-06
290,1.0635749407726753e-06,1.0721379103272683e-06,0.0,1.081584810815938e-05,4.965922757924969e-05,0.001,5.645777845161917e-06,4.867618984302704e-06,2.568271718070127e-06,2.5920909515361223e-06,1.6456106199538494e-06
300,1.061450728450837e-06,1.0699793440647698e-06,0.0,1.0808299545003887e-05,5.060754031734015e-05,0.001,5.649428243508321e-06,4.868443080277606e-06,2.568385318384777e-06,2.594019742759775e-06,1.645183548471509e-06
310,1.059288482704844e-06,1.0677822009894048e-06,0.0,1.079956297371704e-05,5.153216232662603e-05,0.001,5.645370365186506e-06,4.865250786854129e-06,2.5662913033695713e-06,2.589305170113509e-06,1.6415084105642788e-06
320,1.0570884153021735e-06,1.0655467003425393e-06,0.0,1.0783912534519574e-05,5.246137456460508e-05,0.001,5.636730982536337e-06,4.8599563061017775e-06,2.565399187641445e-06,2.5868242546700095e-06,1.6402438082346399e-06
330,1.0548507989457585e-06,1.063273122611879e-06,0.0,1.0779590698950672e-05,5.337082578041412e-05,0.001,5.634729409968996e-06,4.857092526778118e-06,2.5640175381128924e-06,2.585114402682788e-06,1.63941438450811e-06
340,1.052576519285985e-06,1.060962371863241e-06,0.0,1.0766661706678378e-05,5.427388472361634e-05,0.001,5.628631006825893e-06,4.8525231712910685e-06,2.5626207669876302e-06,2.5825971656274526e-06,1.6383159590695234e-06
