i,t,r_init,r_final,r_max,epoch_of_max,r_mean,r_std,loss_contribution_final,err_norm_final,epoch_below_1e-4,n_snapshots,rank_by_final_residual
0,0,0.851308735,0.00322618205,0.851308735,0,0.0212704917,0.122382462,8.57196439e-11,0,,47,269
1,0.000327736022,0.851320312,0.00321298345,0.851320312,0,0.0212578202,0.122386037,8.50197053e-11,1.05513452e-06,,47,275
2,0.000655472043,0.851331841,0.00319980397,0.851331841,0,0.0212451665,0.122389603,8.43236435e-11,2.1058705e-06,,47,282
3,0.000983208065,0.851343325,0.0031866436,0.851343325,0,0.0212325304,0.122393159,8.36314459e-11,3.15221474e-06,,47,288
4,0.00131094409,0.851354761,0.00317350234,0.851354761,0,0.0212199121,0.122396706,8.29430999e-11,4.19417407e-06,,47,293
5,0.00163868011,0.851366151,0.00316038018,0.851366151,0,0.0212073115,0.122400243,8.22585929e-11,5.23175528e-06,,47,300
6,0.00196641613,0.851377495,0.00314727712,0.851377495,0,0.0211947286,0.122403771,8.15779124e-11,6.26496519e-06,,47,307
7,0.00229415215,0.851388791,0.00313419316,0.851388791,0,0.0211821633,0.122407289,8.09010456e-11,7.2938106e-06,,47,313
8,0.00262188817,0.851400041,0.00312112829,0.851400041,0,0.0211696158,0.122410798,8.02279803e-11,8.31829831e-06,,47,319
9,0.00294962419,0.851411245,0.00310808252,0.851411245,0,0.021157086,0.122414297,7.95587037e-11,9.33843514e-06,,47,326
10,0.00327736022,0.851422402,0.00309505582,0.851422402,0,0.0211445738,0.122417787,7.88932035e-11,1.03542279e-05,,47,332
11,0.00360509624,0.851433512,0.00308204822,0.851433512,0,0.0211320794,0.122421267,7.82314672e-11,1.13656833e-05,,47,340
12,0.00393283226,0.851444576,0.00306905969,0.851444576,0,0.0211196026,0.122424738,7.75734823e-11,1.23728082e-05,,47,347
13,0.00426056828,0.851455593,0.00305609024,0.851455593,0,0.0211071435,0.1224282,7.69192364e-11,1.33756094e-05,,47,354
14,0.0045883043,0.851466563,0.00304313985,0.851466563,0,0.021094702,0.122431651,7.62687172e-11,1.43740937e-05,,47,363
15,0.00491604032,0.851477487,0.00303020854,0.851477487,0,0.0210822783,0.122435094,7.56219121e-11,1.53682679e-05,,47,372
16,0.00524377634,0.851488364,0.0030172963,0.851488364,0,0.0210698722,0.122438527,7.49788089e-11,1.63581387e-05,,47,377
17,0.00557151237,0.851499194,0.00300440311,0.851499194,0,0.0210574838,0.12244195,7.43393953e-11,1.7343713e-05,,47,386
18,0.00589924839,0.851509978,0.00299152899,0.851509978,0,0.021045113,0.122445364,7.37036589e-11,1.83249975e-05,,47,395
19,0.00622698441,0.851520716,0.00297867391,0.851520716,0,0.0210327599,0.122448769,7.30715874e-11,1.93019989e-05,,47,403
20,0.00655472043,0.851531406,0.00296583789,0.851531406,0,0.0210204245,0.122452164,7.24431686e-11,2.02747242e-05,,47,412
21,0.00688245645,0.85154205,0.00295302092,0.85154205,0,0.0210081067,0.122455549,7.18183902e-11,2.124318e-05,,47,421
22,0.00721019247,0.851552648,0.002940223,0.851552648,0,0.0209958065,0.122458925,7.11972399e-11,2.22073731e-05,,47,431
23,0.0075379285,0.851563199,0.00292744411,0.851563199,0,0.020983524,0.122462292,7.05797056e-11,2.31673103e-05,,47,441
24,0.00786566452,0.851573703,0.00291468426,0.851573703,0,0.0209712591,0.122465649,6.99657752e-11,2.41229984e-05,,47,451
25,0.00819340054,0.851584161,0.00290194345,0.851584161,0,0.0209590119,0.122468997,6.93554363e-11,2.50744441e-05,,47,458
26,0.00852113656,0.851594572,0.00288922167,0.851594572,0,0.0209467823,0.122472335,6.87486769e-11,2.60216542e-05,,47,468
27,0.00884887258,0.851604937,0.00287651892,0.851604937,0,0.0209345704,0.122475664,6.81454849e-11,2.69646355e-05,,47,477
28,0.0091766086,0.851615254,0.00286383519,0.851615254,0,0.020922376,0.122478983,6.75458482e-11,2.79033946e-05,,47,486
29,0.00950434462,0.851625526,0.00285117048,0.851625526,0,0.0209101993,0.122482293,6.69497546e-11,2.88379385e-05,,47,495
30,0.00983208065,0.851635751,0.00283852479,0.851635751,0,0.0208980402,0.122485593,6.63571921e-11,2.97682738e-05,,47,504
31,0.0101598167,0.851645929,0.00282589812,0.851645929,0,0.0208858988,0.122488884,6.57681487e-11,3.06944072e-05,,47,515
32,0.0104875527,0.85165606,0.00281329045,0.85165606,0,0.0208737749,0.122492165,6.51826125e-11,3.16163456e-05,,47,527
33,0.0108152887,0.851666145,0.0028007018,0.851666145,0,0.0208616687,0.122495437,6.46005712e-11,3.25340957e-05,,47,537
34,0.0111430247,0.851676184,0.00278813215,0.851676184,0,0.0208495801,0.1224987,6.40220131e-11,3.34476642e-05,,47,549
35,0.0114707608,0.851686176,0.0027755815,0.851686176,0,0.020837509,0.122501953,6.34469262e-11,3.43570579e-05,,47,586
36,0.0117984968,0.851696121,0.00276304985,0.851696121,0,0.0208254556,0.122505196,6.28752985e-11,3.52622835e-05,,47,637
37,0.0121262328,0.85170602,0.0027505372,0.85170602,0,0.0208134198,0.12250843,6.23071181e-11,3.61633478e-05,,47,671
38,0.0124539688,0.851715872,0.00273804354,0.851715872,0,0.0208014016,0.122511655,6.17423731e-11,3.70602575e-05,,47,701
39,0.0127817048,0.851725677,0.00272556887,0.851725677,0,0.020789401,0.12251487,6.11810517e-11,3.79530193e-05,,47,730
40,0.0131094409,0.851735436,0.00271311318,0.851735436,0,0.0207774179,0.122518076,6.0623142e-11,3.88416401e-05,,47,757
41,0.0134371769,0.851745149,0.00270067648,0.851745149,0,0.0207654525,0.122521272,6.00686322e-11,3.97261264e-05,,47,782
42,0.0137649129,0.851754814,0.00268825876,0.851754814,0,0.0207535046,0.122524459,5.95175105e-11,4.0606485e-05,,47,807
43,0.0140926489,0.851764434,0.00267586002,0.851764434,0,0.0207415743,0.122527636,5.89697652e-11,4.14827227e-05,,47,833
44,0.0144203849,0.851774006,0.00266348025,0.851774006,0,0.0207296617,0.122530804,5.84253844e-11,4.23548462e-05,,47,858
45,0.014748121,0.851783532,0.00265111945,0.851783532,0,0.0207177665,0.122533962,5.78843564e-11,4.32228623e-05,,47,879
46,0.015075857,0.851793012,0.00263877761,0.851793012,0,0.020705889,0.122537111,5.73466695e-11,4.40867776e-05,,47,903
47,0.015403593,0.851802445,0.00262645475,0.851802445,0,0.020694029,0.122540251,5.6812312e-11,4.49465988e-05,,47,927
48,0.015731329,0.851811832,0.00261415084,0.851811832,0,0.0206821866,0.122543381,5.62812722e-11,4.58023327e-05,,47,948
49,0.0160590651,0.851821171,0.0026018659,0.851821171,0,0.0206703618,0.122546501,5.57535385e-11,4.6653986e-05,,47,970
50,0.0163868011,0.851830465,0.00258959991,0.851830465,0,0.0206585545,0.122549612,5.52290992e-11,4.75015655e-05,,47,995
51,0.0167145371,0.851839712,0.00257735287,0.851839712,0,0.0206467648,0.122552714,5.47079428e-11,4.83450777e-05,,47,1014
52,0.0170422731,0.851848912,0.00256512479,0.851848912,0,0.0206349926,0.122555806,5.41900576e-11,4.91845295e-05,,47,1036
53,0.0173700091,0.851858066,0.00255291565,0.851858066,0,0.020623238,0.122558889,5.36754321e-11,5.00199276e-05,,47,1055
54,0.0176977452,0.851867173,0.00254072546,0.851867173,0,0.0206115009,0.122561962,5.31640546e-11,5.08512786e-05,,47,1077
55,0.0180254812,0.851876233,0.0025285542,0.851876233,0,0.0205997814,0.122565026,5.26559138e-11,5.16785892e-05,,47,1098
56,0.0183532172,0.851885248,0.00251640189,0.851885248,0,0.0205880795,0.122568081,5.21509981e-11,5.25018662e-05,,47,1119
57,0.0186809532,0.851894215,0.00250426852,0.851894215,0,0.020576395,0.122571126,5.16492959e-11,5.33211163e-05,,47,1138
58,0.0190086892,0.851903136,0.00249215407,0.851903136,0,0.0205647282,0.122574161,5.11507958e-11,5.41363461e-05,,47,1160
59,0.0193364253,0.851912011,0.00248005856,0.851912011,0,0.0205530788,0.122577187,5.06554865e-11,5.49475624e-05,,47,1182
60,0.0196641613,0.851920839,0.00246798198,0.851920839,0,0.020541447,0.122580204,5.01633564e-11,5.57547718e-05,,47,1203
61,0.0199918973,0.85192962,0.00245592432,0.85192962,0,0.0205298327,0.122583211,4.96743941e-11,5.65579811e-05,,47,1226
62,0.0203196333,0.851938355,0.00244388559,0.851938355,0,0.020518236,0.122586209,4.91885883e-11,5.73571969e-05,,47,1248
63,0.0206473694,0.851947043,0.00243186577,0.851947043,0,0.0205066568,0.122589197,4.87059276e-11,5.81524259e-05,,47,1266
64,0.0209751054,0.851955685,0.00241986488,0.851955685,0,0.0204950951,0.122592176,4.82264007e-11,5.89436749e-05,,47,1288
65,0.0213028414,0.85196428,0.0024078829,0.85196428,0,0.0204835509,0.122595145,4.77499963e-11,5.97309504e-05,,47,1307
66,0.0216305774,0.851972829,0.00239591983,0.851972829,0,0.0204720243,0.122598105,4.72767029e-11,6.05142592e-05,,47,1326
67,0.0219583134,0.851981331,0.00238397567,0.851981331,0,0.0204605152,0.122601056,4.68065095e-11,6.1293608e-05,,47,1347
68,0.0222860495,0.851989787,0.00237205042,0.851989787,0,0.0204490235,0.122603997,4.63394047e-11,6.20690034e-05,,47,1368
69,0.0226137855,0.851998196,0.00236014407,0.851998196,0,0.0204375494,0.122606928,4.58753772e-11,6.28404521e-05,,47,1389
70,0.0229415215,0.852006559,0.00234825663,0.852006559,0,0.0204260929,0.122609851,4.54144159e-11,6.36079608e-05,,47,1409
71,0.0232692575,0.852014875,0.00233638809,0.852014875,0,0.0204146538,0.122612763,4.49565095e-11,6.43715362e-05,,47,1429
72,0.0235969936,0.852023145,0.00232453844,0.852023145,0,0.0204032322,0.122615667,4.4501647e-11,6.51311849e-05,,47,1448
73,0.0239247296,0.852031368,0.0023127077,0.852031368,0,0.0203918281,0.122618561,4.40498171e-11,6.58869136e-05,,47,1467
74,0.0242524656,0.852039545,0.00230089584,0.852039545,0,0.0203804416,0.122621445,4.36010086e-11,6.66387289e-05,,47,1489
75,0.0245802016,0.852047675,0.00228910288,0.852047675,0,0.0203690725,0.12262432,4.31552106e-11,6.73866376e-05,,47,1510
76,0.0249079376,0.852055759,0.0022773288,0.852055759,0,0.0203577209,0.122627186,4.27124119e-11,6.81306463e-05,,47,1529
77,0.0252356737,0.852063796,0.00226557361,0.852063796,0,0.0203463869,0.122630042,4.22726013e-11,6.88707617e-05,,47,1548
78,0.0255634097,0.852071787,0.00225383731,0.852071787,0,0.0203350703,0.122632889,4.1835768e-11,6.96069904e-05,,47,1568
