iteration,loss,phase,window
0,0.06347199903693465,adam,0
1,0.059650313371764886,adam,0
2,0.051934586727829336,adam,0
3,0.041060337150095175,adam,0
4,0.03198751638484158,adam,0
5,0.03082467266736711,adam,0
6,0.03482056011467378,adam,0
7,0.03687823656610853,adam,0
8,0.03574448501762338,adam,0
9,0.032535527569513376,adam,0
10,0.028442565592218354,adam,0
11,0.024444370341140532,adam,0
12,0.0212194845605177,adam,0
13,0.019055154302173485,adam,0
14,0.017848477641721594,adam,0
15,0.01719817834354723,adam,0
16,0.016563355296023003,adam,0
17,0.015484754289084277,adam,0
18,0.01378206611650825,adam,0
19,0.011608570970962961,adam,0
20,0.009359254591745782,adam,0
21,0.007482800967022832,adam,0
22,0.006250250687023698,adam,0
23,0.00559428303216194,adam,0
24,0.005160437585882102,adam,0
25,0.004558553212292258,adam,0
26,0.0036069911413050167,adam,0
27,0.0024099819049577882,adam,0
28,0.0012753023262303614,adam,0
29,0.0005320973179363978,adam,0
30,0.00031818706113838824,adam,0
31,0.0005013073046317155,adam,0
32,0.0007691823728125779,adam,0
33,0.0009089419099726041,adam,0
34,0.0008913699679678977,adam,0
35,0.0008073805149942014,adam,0
36,0.0007694984351993185,adam,0
37,0.0008364207542716766,adam,0
38,0.0009879984286551764,adam,0
39,0.0011445491704597484,adam,0
40,0.0012120892639706342,adam,0
41,0.0011344165878451632,adam,0
42,0.0009275768596329927,adam,0
43,0.0006779622543853507,adam,0
44,0.0004888891854086261,adam,0
45,0.00040049201580744407,adam,0
46,0.0003695246605219256,adam,0
47,0.0003324882661882002,adam,0
48,0.0002633561413107502,adam,0
49,0.0001749662489297115,adam,0
50,9.598796431462304e-05,adam,0
51,5.4196606794939295e-05,adam,0
52,6.005423270435186e-05,adam,0
53,9.99580434149453e-05,adam,0
54,0.00013912329926172895,adam,0
55,0.0001555967610434869,adam,0
56,0.0001476435097077538,adam,0
57,0.00012814345644399758,adam,0
58,0.00011420312994017538,adam,0
59,0.00011400113237258721,adam,0
60,0.00012215235883370566,adam,0
61,0.00012800996424911399,adam,0
62,0.00012438667222560928,adam,0
63,0.00010970150452483182,adam,0
64,8.71836181974082e-05,adam,0
65,6.402156352860298e-05,adam,0
66,4.846105102872246e-05,adam,0
67,4.342888156788887e-05,adam,0
68,4.329568985256796e-05,adam,0
69,3.994519948607307e-05,adam,0
70,3.09689100608456e-05,adam,0
71,2.0550838334076114e-05,adam,0
72,1.3988940095575281e-05,adam,0
73,1.3177242795194385e-05,adam,0
74,1.6668872806067607e-05,adam,0
75,2.1266293591573127e-05,adam,0
76,2.334302642818474e-05,adam,0
77,2.11703870258534e-05,adam,0
78,1.6764020916410094e-05,adam,0
79,1.401232452132711e-05,adam,0
80,1.4360638655904521e-05,adam,0
81,1.5633151296332888e-05,adam,0
82,1.5235848947407787e-05,adam,0
83,1.2768659922920983e-05,adam,0
84,9.465896496805136e-06,adam,0
85,6.743947772709733e-06,adam,0
86,5.5735925774861215e-06,adam,0
87,5.72693189451552e-06,adam,0
88,6.453905642287015e-06,adam,0
89,6.312926767107755e-06,adam,0
90,5.2130301837705906e-06,adam,0
91,4.144462956913554e-06,adam,0
92,3.930596345171716e-06,adam,0
93,4.400987011414291e-06,adam,0
94,4.864675377624402e-06,adam,0
95,4.835668658493521e-06,adam,0
96,4.239713036564774e-06,adam,0
97,3.385599008576713e-06,adam,0
98,2.7828829451751244e-06,adam,0
99,2.6711168194291974e-06,adam,0
100,2.7568564526605623e-06,adam,0
101,2.6231501915028724e-06,adam,0
102,2.2181767728659034e-06,adam,0
103,1.7986286484385422e-06,adam,0
104,1.5979350214849012e-06,adam,0
105,1.6701811349975953e-06,adam,0
106,1.8894672873957858e-06,adam,0
107,2.02432091961078e-06,adam,0
108,1.9473413433576085e-06,adam,0
109,1.7760796824051566e-06,adam,0
110,1.7034759529870018e-06,adam,0
111,1.7506074060581617e-06,adam,0
112,1.7951512947130104e-06,adam,0
113,1.7494500623110962e-06,adam,0
114,1.6113103138126322e-06,adam,0
115,1.4331239295739446e-06,adam,0
116,1.3031190632546483e-06,adam,0
117,1.2736727475084543e-06,adam,0
118,1.2900925772040454e-06,adam,0
119,1.265136998945049e-06,adam,0
120,1.198926545378288e-06,adam,0
121,1.1556769063272004e-06,adam,0
122,1.1660537820742115e-06,adam,0
123,1.21076517921757e-06,adam,0
124,1.256461840419335e-06,adam,0
125,1.2726454915040395e-06,adam,0
126,1.2525010021695166e-06,adam,0
127,1.226266146231149e-06,adam,0
128,1.2224992615226446e-06,adam,0
129,1.229206599624619e-06,adam,0
130,1.2187047277650452e-06,adam,0
131,1.1870276329791935e-06,adam,0
132,1.1503618619987603e-06,adam,0
133,1.1246231710272303e-06,adam,0
134,1.1163148926621615e-06,adam,0
135,1.1181111873802212e-06,adam,0
136,1.1157793014995713e-06,adam,0
137,1.1066304952119083e-06,adam,0
138,1.101319599645406e-06,adam,0
139,1.1064048013161263e-06,adam,0
140,1.1171262696023317e-06,adam,0
141,1.1253271365104439e-06,adam,0
142,1.1261811093718279e-06,adam,0
143,1.1211067550603653e-06,adam,0
144,1.1166285613829603e-06,adam,0
145,1.116140890478023e-06,adam,0
146,1.1156512599580032e-06,adam,0
147,1.1110672804438806e-06,adam,0
148,1.1038701940033973e-06,adam,0
149,1.0976841697462963e-06,adam,0
150,1.0946577263981784e-06,adam,0
151,1.0947969136022997e-06,adam,0
152,1.0956203467559626e-06,adam,0
153,1.0947753061703128e-06,adam,0
154,1.0934428104261572e-06,adam,0
155,1.0940048897787836e-06,adam,0
156,1.096073304510797e-06,adam,0
157,1.0976669670023327e-06,adam,0
158,1.097853825282709e-06,adam,0
159,1.096818832203581e-06,adam,0
160,1.0954688752329324e-06,adam,0
161,1.0948045367674822e-06,adam,0
162,1.09454501023427e-06,adam,0
163,1.0936190761984236e-06,adam,0
164,1.0920418430217477e-06,adam,0
165,1.0907503947110925e-06,adam,0
166,1.0901905910773917e-06,adam,0
167,1.090126675673621e-06,adam,0
168,1.0900968746840046e-06,adam,0
169,1.0897739172312564e-06,adam,0
170,1.0893552591070327e-06,adam,0
171,1.089270752044948e-06,adam,0
172,1.0894637242213607e-06,adam,0
