iteration,eps,kind
30,0.01,eps
52,0.1,eps
87,1.0,eps
1457,10.0,eps
2716,0.01,eps
2740,0.1,eps
2769,1.0,eps
2809,10.0,eps
4005,0.01,eps
4031,0.1,eps
4054,1.0,eps
4076,10.0,eps
5348,0.01,eps
5366,0.1,eps
5409,1.0,eps
5438,10.0,eps
6688,0.01,eps
6706,0.1,eps
6745,1.0,eps
6785,10.0,eps
8051,0.01,eps
8070,0.1,eps
8112,1.0,eps
8156,10.0,eps
9393,0.01,eps
9414,0.1,eps
9451,1.0,eps
9479,10.0,eps
10745,0.01,eps
10775,0.1,eps
10804,1.0,eps
10825,10.0,eps
12089,0.01,eps
12137,0.1,eps
12166,1.0,eps
12184,10.0,eps
13452,0.01,eps
13507,0.1,eps
13555,1.0,eps
16477,10.0,eps
17744,0.01,eps
17771,0.1,eps
17804,1.0,eps
21804,10.0,eps
23065,0.01,eps
23093,0.1,eps
23114,1.0,eps
27114,10.0,eps
28376,0.01,eps
28399,0.1,eps
28421,1.0,eps
28570,10.0,eps
29742,0.01,eps
29765,0.1,eps
29791,1.0,eps
29823,10.0,eps
30989,0.01,eps
31015,0.1,eps
31030,1.0,eps
31061,10.0,eps
32335,0.01,eps
32357,0.1,eps
32384,1.0,eps
32401,10.0,eps
33567,0.01,eps
33599,0.1,eps
33628,1.0,eps
33658,10.0,eps
34742,0.01,eps
34770,0.1,eps
34807,1.0,eps
34847,10.0,eps
36115,0.01,eps
36149,0.1,eps
36185,1.0,eps
36220,10.0,eps
37489,0.01,eps
37529,0.1,eps
37573,1.0,eps
37619,10.0,eps
38888,0.01,eps
38932,0.1,eps
38969,1.0,eps
41895,10.0,eps
43169,0.01,eps
43205,0.1,eps
43233,1.0,eps
43271,10.0,eps
44540,0.01,eps
44583,0.1,eps
44609,1.0,eps
47559,10.0,eps
48828,0.01,eps
48869,0.1,eps
48896,1.0,eps
52828,10.0,eps
54097,0.01,eps
54143,0.1,eps
54175,1.0,eps
57115,10.0,eps
58385,0.01,eps
58432,0.1,eps
58462,1.0,eps
61388,10.0,eps
62663,0.01,eps
62696,0.1,eps
62731,1.0,eps
66658,10.0,eps
2707,,window
3990,,window
5327,,window
6668,,window
8035,,window
9377,,window
10729,,window
12076,,window
13434,,window
17728,,window
23054,,window
28364,,window
29729,,window
30969,,window
32311,,window
33543,,window
34718,,window
36097,,window
37470,,window
38869,,window
43145,,window
44521,,window
48810,,window
54078,,window
58365,,window
62638,,window
67908,,window
