window,eps,adam_steps,min_w_final,threshold_met
0,0.01,30,0.9950023457948792,True
0,0.1,22,0.990375372811615,True
0,1.0,35,0.9908699225316563,True
0,10.0,1370,0.9900069539680202,True
1,0.01,9,0.9906287489157174,True
1,0.1,24,0.99661877514827,True
1,1.0,29,0.997541545675175,True
1,10.0,40,0.990636658296016,True
2,0.01,15,0.9961325646361281,True
2,0.1,26,0.9952136269931663,True
2,1.0,23,0.9977153502745296,True
2,10.0,22,0.9941265223897721,True
3,0.01,21,0.9974926677770459,True
3,0.1,18,0.9937718182738188,True
3,1.0,43,0.9926030016522145,True
3,10.0,29,0.9920980710497771,True
4,0.01,20,0.9955393636856271,True
4,0.1,18,0.9976159818079222,True
4,1.0,39,0.9934232022593902,True
4,10.0,40,0.9909474935314762,True
5,0.01,16,0.9923662379224797,True
5,0.1,19,0.9939291456961111,True
5,1.0,42,0.9916984394666476,True
5,10.0,44,0.9902079743351997,True
6,0.01,16,0.9960386257386711,True
6,0.1,21,0.9942000536259905,True
6,1.0,37,0.992588885926778,True
6,10.0,28,0.9900447493494688,True
7,0.01,16,0.9933401644284346,True
7,0.1,30,0.9928145578432194,True
7,1.0,29,0.9928681064258982,True
7,10.0,21,0.9934206963895206,True
8,0.01,13,0.9935948628859035,True
8,0.1,48,0.9908621191047295,True
8,1.0,29,0.9925573066521342,True
8,10.0,18,0.9909636400806243,True
9,0.01,18,0.9967762956357797,True
9,0.1,55,0.9916447235560483,True
9,1.0,48,0.9910823091286747,True
9,10.0,2922,0.990037250515712,True
10,0.01,16,0.9966481068082155,True
10,0.1,27,0.9925542850016101,True
10,1.0,33,0.9929563844040418,True
10,10.0,4000,0.9718466867065761,False
11,0.01,11,0.9920265094552606,True
11,0.1,28,0.9952667272652287,True
11,1.0,21,0.9923028548719244,True
11,10.0,4000,0.903133724447247,False
12,0.01,12,0.9925149524026841,True
12,0.1,23,0.9957627115006018,True
12,1.0,22,0.9914173703095706,True
12,10.0,149,0.9900082567303711,True
13,0.01,13,0.9903341388353919,True
13,0.1,23,0.9957420974728651,True
13,1.0,26,0.9963706281061632,True
13,10.0,32,0.9925493951865373,True
14,0.01,20,0.9908491188830406,True
14,0.1,26,0.9972843517941004,True
14,1.0,15,0.9966908496370414,True
14,10.0,31,0.9918027189972558,True
15,0.01,24,0.9946326235278018,True
15,0.1,22,0.9936532674604113,True
15,1.0,27,0.9976035566787208,True
15,10.0,17,0.9927908560318496,True
16,0.01,24,0.9967395242186081,True
16,0.1,32,0.9935423883870482,True
16,1.0,29,0.9904451538504494,True
16,10.0,30,0.9917969668812451,True
17,0.01,24,0.9962097124777236,True
17,0.1,28,0.9926787934366337,True
17,1.0,37,0.9913430423922466,True
17,10.0,40,0.9909096682654981,True
18,0.01,18,0.9929350985045796,True
18,0.1,34,0.9911729901899458,True
18,1.0,36,0.9924225032680111,True
18,10.0,35,0.9909665538255478,True
19,0.01,19,0.9914392211209714,True
19,0.1,40,0.9911766156751075,True
19,1.0,44,0.9915503250609475,True
19,10.0,46,0.9903000492606979,True
20,0.01,19,0.9920922780805099,True
20,0.1,44,0.9914093619933859,True
20,1.0,37,0.9909221063383566,True
20,10.0,2926,0.9913391484542655,True
21,0.01,24,0.9944473206876573,True
21,0.1,36,0.994246258485424,True
21,1.0,28,0.9912566532807493,True
21,10.0,38,0.9908330200740696,True
22,0.01,19,0.9902911784445371,True
22,0.1,43,0.9919645164780352,True
22,1.0,26,0.9932226593559562,True
22,10.0,2950,0.9908476822753625,True
23,0.01,18,0.9902869959092825,True
23,0.1,41,0.9909303834716108,True
23,1.0,27,0.9915240643109262,True
23,10.0,3932,0.9931447439244344,True
24,0.01,19,0.9933574529688245,True
24,0.1,46,0.9924101993735207,True
24,1.0,32,0.9922636515516071,True
24,10.0,2940,0.9906188869046167,True
25,0.01,20,0.990754129398402,True
25,0.1,47,0.9919471926929878,True
25,1.0,30,0.9908082504408504,True
25,10.0,2926,0.9929454113516747,True
26,0.01,25,0.9945786585461944,True
26,0.1,33,0.9904875474816884,True
26,1.0,35,0.9923931308607948,True
26,10.0,3927,0.9909054993606911,True
