i,t,r_init,r_final,r_max,epoch_of_max,r_mean,r_std,loss_contribution_final,err_norm_final,epoch_below_1e-4,n_snapshots,rank_by_final_residual
0,0,0.851308735,0.0031820684,0.851308735,0,0.0229059444,0.127825326,8.14357581e-11,0,,43,228
1,0.000320049704,0.851320041,0.00316934122,0.851320041,0,0.0228937761,0.127828948,8.07856306e-11,1.0163475e-06,,43,232
2,0.000640099409,0.851331302,0.00315663209,0.851331302,0,0.0228816244,0.12783256,8.01390257e-11,2.02855409e-06,,43,235
3,0.000960149113,0.851342518,0.00314394103,0.851342518,0,0.0228694893,0.127836164,7.9495932e-11,3.03662606e-06,,43,238
4,0.00128019882,0.85135369,0.00313126802,0.85135369,0,0.0228573709,0.127839758,7.88563384e-11,4.04056969e-06,,43,242
5,0.00160024852,0.851364818,0.00311861306,0.851364818,0,0.022845269,0.127843342,7.82202336e-11,5.04039127e-06,,43,246
6,0.00192029823,0.851375901,0.00310597615,0.851375901,0,0.0228331837,0.127846917,7.75876065e-11,6.03609707e-06,,43,248
7,0.00224034793,0.85138694,0.00309335728,0.85138694,0,0.022821115,0.127850482,7.69584458e-11,7.02769337e-06,,43,252
8,0.00256039764,0.851397934,0.00308075645,0.851397934,0,0.0228090629,0.127854039,7.63327404e-11,8.01518645e-06,,43,256
9,0.00288044734,0.851408884,0.00306817365,0.851408884,0,0.0227970274,0.127857585,7.57104792e-11,8.99858258e-06,,43,261
10,0.00320049704,0.851419789,0.00305560889,0.851419789,0,0.0227850084,0.127861123,7.5091651e-11,9.97788803e-06,,43,265
11,0.00352054675,0.85143065,0.00304306216,0.85143065,0,0.0227730061,0.12786465,7.44762448e-11,1.09531091e-05,,43,269
12,0.00384059645,0.851441467,0.00303053346,0.851441467,0,0.0227610203,0.127868169,7.38642495e-11,1.1924252e-05,,43,273
13,0.00416064616,0.851452239,0.00301802278,0.851452239,0,0.0227490511,0.127871678,7.32556539e-11,1.2891323e-05,,43,277
14,0.00448069586,0.851462966,0.00300553012,0.851462966,0,0.0227370984,0.127875178,7.26504471e-11,1.38543284e-05,,43,283
15,0.00480074557,0.851473649,0.00299305547,0.851473649,0,0.0227251623,0.127878668,7.2048618e-11,1.48132745e-05,,43,289
16,0.00512079527,0.851484288,0.00298059884,0.851484288,0,0.0227132428,0.127882149,7.14501557e-11,1.57681675e-05,,43,293
17,0.00544084498,0.851494882,0.00296816022,0.851494882,0,0.0227013398,0.12788562,7.0855049e-11,1.67190137e-05,,43,299
18,0.00576089468,0.851505432,0.0029557396,0.851505432,0,0.0226894534,0.127889082,7.02632872e-11,1.76658193e-05,,43,305
19,0.00608094438,0.851515937,0.00294333699,0.851515937,0,0.0226775835,0.127892534,6.96748592e-11,1.86085905e-05,,43,310
20,0.00640099409,0.851526398,0.00293095238,0.851526398,0,0.0226657302,0.127895978,6.9089754e-11,1.95473337e-05,,43,315
21,0.00672104379,0.851536814,0.00291858576,0.851536814,0,0.0226538934,0.127899411,6.85079609e-11,2.04820551e-05,,43,321
22,0.0070410935,0.851547186,0.00290623714,0.851547186,0,0.0226420732,0.127902836,6.79294688e-11,2.14127609e-05,,43,326
23,0.0073611432,0.851557513,0.0028939065,0.851557513,0,0.0226302695,0.127906251,6.7354267e-11,2.23394574e-05,,43,332
24,0.00768119291,0.851567796,0.00288159386,0.851567796,0,0.0226184823,0.127909656,6.67823445e-11,2.32621508e-05,,43,338
25,0.00800124261,0.851578035,0.00286929919,0.851578035,0,0.0226067117,0.127913052,6.62136905e-11,2.41808473e-05,,43,341
26,0.00832129232,0.851588229,0.00285702251,0.851588229,0,0.0225949575,0.127916439,6.56482943e-11,2.50955533e-05,,43,348
27,0.00864134202,0.851598379,0.0028447638,0.851598379,0,0.02258322,0.127919816,6.50861449e-11,2.60062749e-05,,43,355
28,0.00896139172,0.851608484,0.00283252307,0.851608484,0,0.0225714989,0.127923184,6.45272317e-11,2.69130183e-05,,43,363
29,0.00928144143,0.851618545,0.00282030031,0.851618545,0,0.0225597944,0.127926543,6.39715438e-11,2.78157899e-05,,43,372
30,0.00960149113,0.851628561,0.00280809551,0.851628561,0,0.0225481063,0.127929892,6.34190706e-11,2.87145958e-05,,43,379
31,0.00992154084,0.851638533,0.00279590868,0.851638533,0,0.0225364348,0.127933231,6.28698013e-11,2.96094423e-05,,43,387
32,0.0102415905,0.851648461,0.00278373981,0.851648461,0,0.0225247798,0.127936562,6.23237251e-11,3.05003355e-05,,43,393
33,0.0105616402,0.851658344,0.0027715889,0.851658344,0,0.0225131413,0.127939882,6.17808315e-11,3.13872818e-05,,43,401
34,0.01088169,0.851668183,0.00275945594,0.851668183,0,0.0225015194,0.127943194,6.12411097e-11,3.22702874e-05,,43,408
35,0.0112017397,0.851677977,0.00274734094,0.851677977,0,0.0224899139,0.127946496,6.07045491e-11,3.31493584e-05,,43,415
36,0.0115217894,0.851687727,0.00273524388,0.851687727,0,0.0224783249,0.127949789,6.01711391e-11,3.40245011e-05,,43,423
37,0.0118418391,0.851697433,0.00272316477,0.851697433,0,0.0224667524,0.127953072,5.9640869e-11,3.48957217e-05,,43,431
38,0.0121618888,0.851707094,0.0027111036,0.851707094,0,0.0224551964,0.127956346,5.91137283e-11,3.57630264e-05,,43,439
39,0.0124819385,0.85171671,0.00269906038,0.85171671,0,0.0224436569,0.12795961,5.85897064e-11,3.66264215e-05,,43,445
40,0.0128019882,0.851726283,0.00268703508,0.851726283,0,0.0224321339,0.127962865,5.80687927e-11,3.74859131e-05,,43,453
41,0.0131220379,0.85173581,0.00267502773,0.85173581,0,0.0224206273,0.127966111,5.75509766e-11,3.83415075e-05,,43,461
42,0.0134420876,0.851745294,0.0026630383,0.851745294,0,0.0224091373,0.127969347,5.70362478e-11,3.91932108e-05,,43,470
43,0.0137621373,0.851754733,0.0026510668,0.851754733,0,0.0223976637,0.127972574,5.65245956e-11,4.00410293e-05,,43,479
44,0.014082187,0.851764127,0.00263911322,0.851764127,0,0.0223862066,0.127975792,5.60160096e-11,4.08849692e-05,,43,488
45,0.0144022367,0.851773477,0.00262717757,0.851773477,0,0.0223747659,0.127979,5.55104794e-11,4.17250367e-05,,43,554
