iteration,loss,phase,window
0,0.13730282620525008,adam,0
1,0.10946659535705146,adam,0
2,0.08040443139428394,adam,0
3,0.05528685312885182,adam,0
4,0.03984964285209745,adam,0
5,0.03717146627373922,adam,0
6,0.043065240308025284,adam,0
7,0.048889099269371336,adam,0
8,0.050164110024160234,adam,0
9,0.04726916925628783,adam,0
10,0.042157515381121356,adam,0
11,0.03661162738518947,adam,0
12,0.031741487656754656,adam,0
13,0.02802737335827044,adam,0
14,0.025530104123188617,adam,0
15,0.024079529662198215,adam,0
16,0.023384689162399042,adam,0
17,0.023082932459838758,adam,0
18,0.022781778267601915,adam,0
19,0.022134725217744098,adam,0
20,0.020937313842831852,adam,0
21,0.019186387860104095,adam,0
22,0.01706626915478163,adam,0
23,0.014873702830315154,adam,0
24,0.012914657090661343,adam,0
25,0.011405112452438594,adam,0
26,0.010405619359284963,adam,0
27,0.009814211282258376,adam,0
28,0.009422490725499673,adam,0
29,0.009007375037203997,adam,0
30,0.008411410966284092,adam,0
31,0.007579136155343299,adam,0
32,0.006549827649485222,adam,0
33,0.005426360681215831,adam,0
34,0.00433782786080599,adam,0
35,0.003403553345498356,adam,0
36,0.0027011314569622444,adam,0
37,0.002243621783281233,adam,0
38,0.001975181059204416,adam,0
39,0.0017925669257026619,adam,0
40,0.001532251017338879,adam,0
41,0.0012707607713558472,adam,0
42,0.0009373235424901498,adam,0
43,0.0005884542468059435,adam,0
44,0.0003039470785986842,adam,0
45,0.00014093635462791496,adam,0
46,0.00010193735187750192,adam,0
47,0.00015132855938511928,adam,0
48,0.00023584083638640468,adam,0
49,0.0003207185637753762,adam,0
50,0.0003875254991050853,adam,0
51,0.0004256390248607395,adam,0
52,0.00043007069143728694,adam,0
53,0.0004055126435463953,adam,0
54,0.0003693792839098056,adam,0
55,0.0003458547242414954,adam,0
56,0.0003492515497451856,adam,0
57,0.00037105213306322924,adam,0
58,0.0003870982063068427,adam,0
59,0.000377013608967417,adam,0
60,0.00033647717152508993,adam,0
61,0.0002765477829310301,adam,0
62,0.00021440321180625732,adam,0
63,0.00016264667096500224,adam,0
64,0.00012515830577282587,adam,0
65,0.00010060667204916371,adam,0
66,8.645639237835836e-05,adam,0
