iteration,eps,kind
40,0.01,eps
46,0.1,eps
73,1.0,eps
113,10.0,eps
1996,0.01,eps
2009,0.1,eps
2033,1.0,eps
2061,10.0,eps
3945,0.01,eps
3970,0.1,eps
3989,1.0,eps
4010,10.0,eps
5886,0.01,eps
5904,0.1,eps
5943,1.0,eps
5970,10.0,eps
7856,0.01,eps
7873,0.1,eps
7908,1.0,eps
7948,10.0,eps
9712,0.01,eps
9729,0.1,eps
9760,1.0,eps
9798,10.0,eps
11328,0.01,eps
11348,0.1,eps
11375,1.0,eps
11408,10.0,eps
13114,0.01,eps
13136,0.1,eps
13173,1.0,eps
13193,10.0,eps
15061,0.01,eps
15094,0.1,eps
15130,1.0,eps
15149,10.0,eps
17031,0.01,eps
17068,0.1,eps
17122,1.0,eps
17159,10.0,eps
19041,0.01,eps
19071,0.1,eps
19109,1.0,eps
23109,10.0,eps
24992,0.01,eps
25007,0.1,eps
25039,1.0,eps
28994,10.0,eps
30674,0.01,eps
30690,0.1,eps
30708,1.0,eps
30735,10.0,eps
32618,0.01,eps
32646,0.1,eps
32666,1.0,eps
32686,10.0,eps
34570,0.01,eps
34593,0.1,eps
34614,1.0,eps
34642,10.0,eps
36531,0.01,eps
36554,0.1,eps
36579,1.0,eps
36600,10.0,eps
38184,0.01,eps
38208,0.1,eps
38244,1.0,eps
38271,10.0,eps
40133,0.01,eps
40161,0.1,eps
40201,1.0,eps
40235,10.0,eps
42122,0.01,eps
42146,0.1,eps
42192,1.0,eps
42237,10.0,eps
44124,0.01,eps
44150,0.1,eps
44212,1.0,eps
44268,10.0,eps
46151,0.01,eps
46187,0.1,eps
46228,1.0,eps
46271,10.0,eps
48159,0.01,eps
48197,0.1,eps
48233,1.0,eps
48264,10.0,eps
50153,0.01,eps
50198,0.1,eps
50228,1.0,eps
50264,10.0,eps
52153,0.01,eps
52209,0.1,eps
52257,1.0,eps
54171,10.0,eps
56059,0.01,eps
56103,0.1,eps
56141,1.0,eps
56853,10.0,eps
58742,0.01,eps
58783,0.1,eps
58827,1.0,eps
62827,10.0,eps
64716,0.01,eps
64742,0.1,eps
64785,1.0,eps
68736,10.0,eps
1988,,window
3936,,window
5875,,window
7845,,window
9701,,window
11319,,window
13107,,window
15054,,window
17024,,window
19034,,window
24985,,window
30667,,window
32611,,window
34562,,window
36518,,window
38171,,window
40125,,window
42110,,window
44112,,window
46144,,window
48146,,window
50140,,window
52139,,window
56046,,window
58728,,window
64702,,window
70611,,window
