window,eps,adam_steps,min_w_final,threshold_met
0,0.01,40,0.9918507250559524,True
0,0.1,6,0.994655146664265,True
0,1.0,27,0.9905045547506067,True
0,10.0,40,0.9916461549172597,True
1,0.01,8,0.9988091059187943,True
1,0.1,13,0.9918128752838014,True
1,1.0,24,0.9924245369317857,True
1,10.0,28,0.9938318654683425,True
2,0.01,9,0.9965798952640788,True
2,0.1,25,0.9979355774245001,True
2,1.0,19,0.9939812566453735,True
2,10.0,21,0.996432783556862,True
3,0.01,11,0.9945715801633285,True
3,0.1,18,0.9921036741122231,True
3,1.0,39,0.9918218060279035,True
3,10.0,27,0.9914599894520879,True
4,0.01,11,0.9938101595900105,True
4,0.1,17,0.9933523931882036,True
4,1.0,35,0.9920470908899379,True
4,10.0,40,0.9916265249491236,True
5,0.01,11,0.9934073996946592,True
5,0.1,17,0.9960968154520687,True
5,1.0,31,0.9946073336075602,True
5,10.0,38,0.9908931413202019,True
6,0.01,9,0.9980345030520046,True
6,0.1,20,0.9975861946361099,True
6,1.0,27,0.9918745734320162,True
6,10.0,33,0.9930934953651148,True
7,0.01,7,0.9901278056721301,True
7,0.1,22,0.9909610523275714,True
7,1.0,37,0.9939583959873771,True
7,10.0,20,0.992058905306479,True
8,0.01,7,0.9971727429398431,True
8,0.1,33,0.9906571423596219,True
8,1.0,36,0.9908947233783371,True
8,10.0,19,0.9904419532091361,True
9,0.01,7,0.9952366154521983,True
9,0.1,37,0.9924801941950289,True
9,1.0,54,0.9908726854595687,True
9,10.0,37,0.9905938022703069,True
10,0.01,7,0.9974600690455732,True
10,0.1,30,0.991772346985465,True
10,1.0,38,0.9918683983557054,True
10,10.0,4000,0.9888230583841229,False
11,0.01,7,0.9946955545721953,True
11,0.1,15,0.9925939288919434,True
11,1.0,32,0.9923959250695126,True
11,10.0,3955,0.9910586237566842,True
12,0.01,7,0.998053812929129,True
12,0.1,16,0.9950521661748591,True
12,1.0,18,0.9913636022448749,True
12,10.0,27,0.9932268203926937,True
13,0.01,7,0.9959005028010844,True
13,0.1,28,0.9931011135345924,True
13,1.0,20,0.9979221063624799,True
13,10.0,20,0.9913740394076626,True
14,0.01,8,0.9914724433671,True
14,0.1,23,0.9917415120170043,True
14,1.0,21,0.9923944562131572,True
14,10.0,28,0.9955976656242882,True
15,0.01,13,0.9957839840043095,True
15,0.1,23,0.9937771296830317,True
15,1.0,25,0.9913676874502302,True
15,10.0,21,0.9922143053515365,True
16,0.01,13,0.9967814197194284,True
16,0.1,24,0.9917810826744602,True
16,1.0,36,0.9928863960652984,True
16,10.0,27,0.9917328582025535,True
17,0.01,8,0.990711219608822,True
17,0.1,28,0.9927159415485238,True
17,1.0,40,0.9930809644183305,True
17,10.0,34,0.990626150602677,True
18,0.01,12,0.9973743552992452,True
18,0.1,24,0.9943737544095375,True
18,1.0,46,0.9909324703769388,True
18,10.0,45,0.9907969329221776,True
19,0.01,12,0.9974645119415109,True
19,0.1,26,0.9915984358083807,True
19,1.0,62,0.9906176378574604,True
19,10.0,56,0.9907110501998995,True
20,0.01,7,0.9976009225996061,True
20,0.1,36,0.9936494976764807,True
20,1.0,41,0.9911316448046704,True
20,10.0,43,0.9904181991542302,True
21,0.01,13,0.9963388978805204,True
21,0.1,38,0.9925583160195248,True
21,1.0,36,0.9909455178983877,True
21,10.0,31,0.9907416720697436,True
22,0.01,13,0.9958986411128893,True
22,0.1,45,0.9915391636097403,True
22,1.0,30,0.9926116927346648,True
22,10.0,36,0.9910417805978244,True
23,0.01,14,0.9901791703573853,True
23,0.1,56,0.9916993045663863,True
23,1.0,48,0.9907004237640766,True
23,10.0,1914,0.9906521074798533,True
24,0.01,13,0.9957119958804806,True
24,0.1,44,0.991116467996817,True
24,1.0,38,0.9909383087590173,True
24,10.0,712,0.9900036141200454,True
25,0.01,14,0.9946873016492052,True
25,0.1,41,0.9925276132721387,True
25,1.0,44,0.9906344872590611,True
25,10.0,4000,0.9894210407744085,False
26,0.01,14,0.9914357729399351,True
26,0.1,26,0.9903546498654895,True
26,1.0,43,0.9920554512291817,True
26,10.0,3951,0.9902661782419987,True
