epoch,loss,residual_loss,ic_loss,grad_norm,update_norm,lr,layer_1_grad_norm,layer_2_grad_norm,layer_3_grad_norm,layer_4_grad_norm,layer_5_grad_norm
0,0.13730282620525008,0.23699534284998144,0.0,1.0972873188954837,0.10621476396138683,0.001,0.15558564758704405,0.21936233473786357,0.23428289054657034,0.24193912125954434,0.11720591745930999
10,0.042157515381121356,0.04748124654336075,0.0,0.3205484179982675,0.04717969956094676,0.001,0.11831032283103836,0.148423891766804,0.14682646559989157,0.14662091395698104,0.10099564666579061
20,0.020937313842831852,0.022144176115802723,0.0,0.30397990476170866,0.024006674339490885,0.001,0.042494649417170155,0.05059205887089989,0.0501291286989315,0.05588573509499506,0.04941485114624109
30,0.008411410966284092,0.008597692966514891,0.0,0.1174879433553851,0.025242962919510715,0.001,0.043044902923282065,0.05508639834778549,0.04701067524391781,0.04084052702319821,0.028911681825518447
40,0.001532251017338879,0.0015955608678395075,0.0,0.1171695568240879,0.022986602431675905,0.001,0.014385183487430522,0.01970642765216076,0.02151080201592746,0.025300776523210257,0.022768398445946032
50,0.0003875254991050853,0.0004319361524981579,0.0,0.05491891655766023,0.010268487175434571,0.001,0.011283155146641567,0.013756995100664731,0.012078383925167996,0.0124457743056373,0.011494863442214918
60,0.00033647717152508993,0.00036925584696993253,0.0,0.034963570422567876,0.007978453648119258,0.001,0.009854838995226147,0.011824734950597151,0.0092190704772406,0.008643314400584268,0.007877761808557648
70,4.2941345463243726e-05,4.342021667225752e-05,0.0,0.023000064037536606,0.006684867724911695,0.001,0.0050066499024862335,0.005852416345047105,0.005171410814908517,0.0053224644873757386,0.004417053888224932
80,2.9060564804382703e-05,3.1459984122101266e-05,0.0,0.008063522798534251,0.002797892078655547,0.001,0.0029135824121651883,0.0028863349864143933,0.0021249368115961163,0.0020113901700484723,0.0018284061346141094
90,8.675993894209783e-06,8.87406419001745e-06,0.0,0.004362234678716251,0.0021625218887646198,0.001,0.0010735599411649981,0.001094831758868204,0.0008928262407164931,0.0009686502875122395,0.0010628460158398853
100,4.414390472348546e-06,4.464953717237464e-06,0.0,0.005360173254928023,0.0011204221452326701,0.001,0.0009917801848480024,0.0012523160427049963,0.0011431961205589875,0.0012148249943080309,0.0010563320945382293
110,2.3922930150618653e-06,2.407015426315465e-06,0.0,0.0024245653619071996,0.0007836113346436739,0.001,0.0007562155542539364,0.0009082075019976368,0.000698471213043905,0.0006263044770623056,0.0005370041785314282
1990,0.004883384454851482,0.004945429558698276,0.0,0.3206976430682733,0.04167229388151037,0.001,0.10104959312655223,0.14028189994340398,0.11224294702967325,0.10105648482428216,0.08308412619829539
2000,0.0010981018321512064,0.0011301630624445842,0.0,0.13343122808683666,0.01760092334103225,0.001,0.04111156231151114,0.05578562523307817,0.04693992482441217,0.04024083796145419,0.03499677432331528
2010,0.00039452395230585476,0.0004407013967362773,0.0,0.0832936268043426,0.006763148973261752,0.001,0.025852150616217057,0.03257485265108512,0.028346348140239792,0.024539050407454806,0.01931259134046492
2020,4.398590648171214e-05,4.448837050616395e-05,0.0,0.024708135150171957,0.0073838059837883965,0.001,0.006479992121902128,0.010575321450041874,0.008680524069043377,0.008298433687916069,0.006480216046352309
2030,7.668284580843812e-05,7.822805476564952e-05,0.0,0.03589064318453704,0.0030800540741221616,0.001,0.01039707624521817,0.014727166188113308,0.012332515389096455,0.011063144029713121,0.008969351615274046
2040,1.7438803362727407e-05,1.826610873092587e-05,0.0,0.018436969044879677,0.0017133293518784795,0.001,0.006507431662202039,0.007488879386108489,0.006025243832853859,0.005479010634539606,0.004594926221390588
2050,2.82978036960099e-06,2.8504662254520554e-06,0.0,0.008474682748221265,0.0014577358179642512,0.001,0.0030958368576532707,0.0033764872172805734,0.002760254952485506,0.0023765661865323075,0.0016955605474189143
2060,1.041776076508065e-06,1.0445576867673946e-06,0.0,0.004735104597902999,0.0010403278342241105,0.001,0.0017826188263259282,0.0018703488656479467,0.0014522582258874605,0.0012709488604936072,0.001001275463805115
3940,0.0041523991367139095,0.004197168687757827,0.0,0.4235134620314988,0.03899282904012026,0.001,0.18597000025100774,0.19497105050773622,0.15052548118655684,0.12469358980666918,0.090762915316577
3950,0.000254366927413806,0.0002560358316566878,0.0,0.08148679324920222,0.019684332767284575,0.001,0.036168924333395386,0.037315107316049353,0.028529052962211258,0.02336686375589733,0.01947255853536686
3960,0.0004714635157596694,0.0004772444557049187,0.0,0.08786142378889991,0.009440594297444451,0.001,0.032341883968483656,0.0380643954929807,0.03284438616483849,0.02753445658421738,0.024149027560262347
3970,4.012637598163427e-05,4.054369937441215e-05,0.0,0.020697095663164043,0.0076458353545045005,0.001,0.0089240751788983,0.009383145740688914,0.007627733210167703,0.006301229777670061,0.0053642773369051485
3980,4.0586667368072027e-05,4.10142757426158e-05,0.0,0.02207438922475792,0.005235056785078272,0.001,0.006770858163354433,0.009084802206362803,0.008431524890466965,0.007192237052536614,0.006260330694863289
