i,t,r_init,r_final,r_max,epoch_of_max,r_mean,r_std,loss_contribution_final,err_norm_final,epoch_below_1e-4,n_snapshots,rank_by_final_residual
0,0,0.851308735,0.00058138057,0.851308735,0,0.0223949025,0.13446758,8.14956884e-12,0,,39,3615
1,0.000959524016,0.851342496,0.000569797874,0.851342496,0,0.0223844825,0.134474747,7.82807997e-12,5.52069272e-07,,39,3667
2,0.00191904803,0.851375858,0.0005583285,0.851375858,0,0.0223741626,0.134481833,7.51611125e-12,1.09265557e-06,,39,3719
3,0.00287857205,0.85140882,0.000546972215,0.85140882,0,0.0223639427,0.134488838,7.21346846e-12,1.62187214e-06,,39,3766
4,0.00383809606,0.851441382,0.000535728795,0.851441382,0,0.0223538225,0.134495762,6.91996002e-12,2.13983186e-06,,39,3814
5,0.00479762008,0.851473545,0.000524598028,0.851473545,0,0.0223438018,0.134502605,6.63539701e-12,2.64664715e-06,,39,3862
6,0.0057571441,0.851505308,0.000513579716,0.851505308,0,0.0223338804,0.134509367,6.35959313e-12,3.14243003e-06,,39,3907
7,0.00671666811,0.851536672,0.000502673676,0.851536672,0,0.0223240582,0.134516049,6.09236466e-12,3.62729213e-06,,39,3956
8,0.00767619213,0.851567636,0.000491879737,0.851567636,0,0.022314335,0.134522649,5.83353046e-12,4.10134464e-06,,39,4046
9,0.00863571615,0.851598201,0.000481197749,0.851598201,0,0.0223047106,0.134529169,5.58291195e-12,4.56469838e-06,,39,4114
10,0.00959524016,0.851628366,0.000470627575,0.851628366,0,0.022295185,0.134535607,5.34033307e-12,5.01746372e-06,,39,4183
11,0.0105547642,0.851658132,0.000460169101,0.851658132,0,0.0222857579,0.134541965,5.10562028e-12,5.45975066e-06,,39,4248
12,0.0115142882,0.851687499,0.00044982223,0.851687499,0,0.0222764293,0.134548242,4.87860251e-12,5.89166879e-06,,39,4353
13,0.0124738122,0.851716467,0.000439586892,0.851716467,0,0.0222671992,0.134554439,4.65911116e-12,6.31332729e-06,,39,4431
14,0.0134333362,0.851745035,0.000429463035,0.851745035,0,0.0222580674,0.134560555,4.44698007e-12,6.72483494e-06,,39,4507
15,0.0143928602,0.851773204,0.000419450639,0.851773204,0,0.0222490341,0.13456659,4.24204553e-12,7.12630014e-06,,39,4577
16,0.0153523843,0.851800974,0.000409549707,0.851800974,0,0.0222400991,0.134572544,4.04414618e-12,7.51783087e-06,,39,4645
17,0.0163119083,0.851828345,0.000399760278,0.851828345,0,0.0222312625,0.134578418,3.85312308e-12,7.89953473e-06,,39,4718
18,0.0172714323,0.851855317,0.00039008242,0.851855317,0,0.0222225243,0.134584211,3.66881964e-12,8.27151894e-06,,39,4818
19,0.0182309563,0.85188189,0.00038051624,0.85188189,0,0.0222138848,0.134589923,3.49108158e-12,8.63389031e-06,,39,4908
20,0.0191904803,0.851908064,0.000371061882,0.851908064,0,0.022205344,0.134595554,3.31975697e-12,8.98675526e-06,,39,4989
21,0.0201500043,0.85193384,0.000361719537,0.85193384,0,0.0221969021,0.134601105,3.15469616e-12,9.33021985e-06,,39,5069
22,0.0211095284,0.851959216,0.000352489439,0.851959216,0,0.0221885594,0.134606575,2.99575177e-12,9.66438972e-06,,39,5181
23,0.0220690524,0.851984194,0.000343371876,0.851984194,0,0.022180316,0.134611964,2.84277867e-12,9.98937017e-06,,39,5371
24,0.0230285764,0.852008773,0.000334367192,0.852008773,0,0.0221721725,0.134617273,2.69563398e-12,1.03052661e-05,,39,5522
25,0.0239881004,0.852032953,0.000325475792,0.852032953,0,0.0221641291,0.1346225,2.55417701e-12,1.0612182e-05,,39,5651
26,0.0249476244,0.852056735,0.00031669815,0.852056735,0,0.0221561863,0.134627646,2.41826927e-12,1.09102221e-05,,39,5771
27,0.0259071484,0.852080118,0.000308034811,0.852080118,0,0.0221483446,0.134632712,2.28777444e-12,1.11994901e-05,,39,5898
28,0.0268666725,0.852103103,0.000299486407,0.852103103,0,0.0221406048,0.134637696,2.16255836e-12,1.14800894e-05,,39,6018
29,0.0278261965,0.852125689,0.000291053656,0.852125689,0,0.0221329674,0.134642599,2.04248899e-12,1.17521231e-05,,39,6123
30,0.0287857205,0.852147877,0.000282737377,0.852147877,0,0.0221254333,0.13464742,1.92743639e-12,1.20156939e-05,,39,6223
