i,t,r_init,r_final,r_max,epoch_of_max,r_mean,r_std,loss_contribution_final,err_norm_final,epoch_below_1e-4,n_snapshots,rank_by_final_residual
0,2.99121022,0.657702571,0.000439926972,0.657702571,0,0.0136891072,0.0347821676,2.15039712e-11,0.000466668758,,401,1220
1,8.23576736,0.0736693683,0.0005190826,0.0736693683,0,0.00416427251,0.00600944206,2.99385273e-11,0.00202546249,,401,550
2,3.44986343,0.60318663,0.000206048312,0.60318663,0,0.0114831059,0.0315282374,4.71732301e-12,0.000703967155,,401,2638
3,9.71327782,0.189381798,0.000655738956,0.189381798,0,0.006627467,0.0113720231,4.77770643e-11,0.00254939975,,401,171
4,9.25395584,0.147286933,0.000581938385,0.147286933,0,0.00565006008,0.00933385294,3.76280315e-11,0.00209517188,,401,210
5,4.72695732,0.439209718,0.00040369268,0.439209718,0,0.00747591036,0.0225764936,1.81075311e-11,0.00155901138,14800,401,1503
6,3.96464443,0.538605741,0.000380639441,0.538605741,0,0.00943162993,0.0279261639,1.60984871e-11,0.000848600845,,401,1685
7,4.95090151,0.409638777,0.000166293552,0.409638777,0,0.00710820381,0.0210092165,3.07261614e-12,0.00176309287,,401,2745
8,1.64152122,0.789225132,0.000247168364,0.789225132,0,0.0224378724,0.0452043556,6.78802224e-12,0.000197211753,13600,401,2512
9,6.04354954,0.266860822,0.000515321897,0.266860822,0,0.0051399946,0.0138299063,2.95062953e-11,0.00226757187,,401,579
10,9.12394714,0.135539848,0.000475646377,0.135539848,0,0.00536602869,0.00895047001,2.51377195e-11,0.00203656165,,401,920
11,3.6833241,0.574260298,0.000474371437,0.574260298,0,0.0105693422,0.0298668007,2.50031401e-11,0.00077281747,,401,928
12,0.433808655,0.847789497,9.29115589e-05,0.847789497,0,0.0359090635,0.0621578853,9.59173087e-13,9.0657104e-05,14950,401,2950
13,8.95655441,0.12077435,0.000435936932,0.12077435,0,0.00510977283,0.00831958831,2.11156676e-11,0.00200755033,,401,1291
14,8.00756741,0.0723628542,0.000388303747,0.0723628542,0,0.00393246934,0.00591955815,1.67533111e-11,0.00197404407,,401,1626
15,3.84274793,0.554149208,0.000488668944,0.554149208,0,0.00991989878,0.0287623425,2.65330374e-11,0.000810888094,13700,401,810
16,7.87712288,0.0759808072,0.00032695578,0.0759808072,0,0.00398603257,0.00593147761,1.18777869e-11,0.00193828117,16200,401,2163
17,3.15486169,0.638652291,0.000331940141,0.638652291,0,0.0128237777,0.0336266468,1.22426952e-11,0.000556819512,,401,2121
18,2.90566754,0.667458776,0.000434171204,0.667458776,0,0.014144932,0.0353961292,2.09449594e-11,0.000427387254,,401,1303
19,7.81859112,0.0785618712,0.000328352316,0.0785618712,0,0.00402973028,0.00596148034,1.19794715e-11,0.00192288236,,401,2148
