i,t,r_init,r_final,r_max,epoch_of_max,r_mean,r_std,loss_contribution_final,err_norm_final,epoch_below_1e-4,n_snapshots,rank_by_final_residual
0,2.99121022,0.657702571,0.000425738205,0.657702571,0,0.0137144678,0.0348363829,2.01392243e-11,0.000442174012,19400,401,1173
1,8.23576736,0.0736693683,0.000513793659,0.0736693683,0,0.00537614724,0.00642123593,2.93315471e-11,0.00197596776,,401,530
2,3.44986343,0.60318663,0.000203692597,0.60318663,0,0.0116418178,0.0315481076,4.6100749e-12,0.000663734062,,401,2626
3,9.71327782,0.189381798,0.000675514762,0.189381798,0,0.00764266151,0.0119064977,5.07022438e-11,0.0024029525,,401,147
4,9.25395584,0.147286933,0.000557330523,0.147286933,0,0.00671264216,0.0101187877,3.45130346e-11,0.00201407423,,401,279
5,4.72695732,0.439209718,0.000416609778,0.439209718,0,0.00809226134,0.0225180809,1.92848564e-11,0.001511007,,401,1260
6,3.96464443,0.538605741,0.000317599371,0.538605741,0,0.00976901354,0.0279114106,1.12077067e-11,0.000803753602,19750,401,2107
7,4.95090151,0.409638777,0.000193220648,0.409638777,0,0.00782255019,0.0209395788,4.14824654e-12,0.00170599586,,401,2655
8,1.64152122,0.789225132,0.000211046857,0.789225132,0,0.0223795097,0.0452786943,4.94897508e-12,0.000181731872,13950,401,2598
9,6.04354954,0.266860822,0.000549756379,0.266860822,0,0.00636626097,0.0137325158,3.35813418e-11,0.00221698824,,401,318
10,9.12394714,0.135539848,0.000454337385,0.135539848,0,0.00653622483,0.00969687797,2.29358289e-11,0.00197040796,,401,911
11,3.6833241,0.574260298,0.000430998217,0.574260298,0,0.0107605206,0.0298864371,2.06399404e-11,0.00072702884,,401,1112
12,0.433808655,0.847789497,8.52931273e-05,0.847789497,0,0.0353477282,0.0620816226,8.08324173e-13,8.36734575e-05,18050,401,2934
13,8.95655441,0.12077435,0.00040139514,0.12077435,0,0.00633694401,0.00904172284,1.79020065e-11,0.00195296834,19750,401,1412
14,8.00756741,0.0723628542,0.000410744906,0.0723628542,0,0.00516019594,0.00614248516,1.87457086e-11,0.0019269356,,401,1316
15,3.84274793,0.554149208,0.000428334398,0.554149208,0,0.0101817029,0.0287660964,2.03855952e-11,0.000764530872,18450,401,1142
16,7.87712288,0.0759808072,0.000356005353,0.0759808072,0,0.005123933,0.00613105326,1.40822012e-11,0.00189354106,,401,1778
