i,t,r_init,r_final,r_max,epoch_of_max,r_mean,r_std,loss_contribution_final,err_norm_final,epoch_below_1e-4,n_snapshots,rank_by_final_residual
0,2.99121022,0.416467436,0.0340642738,0.451346346,50,0.0397555311,0.0460338481,1.28930528e-07,0.486332835,,401,898
1,8.23576736,4.31644308,0.00772646654,4.31644308,0,0.0580244192,0.218674145,6.6331428e-09,3.21843488,,401,2106
2,3.44986343,0.457997136,0.0290751051,0.457997136,0,0.0386064839,0.0419492321,9.3929082e-08,0.642059838,,401,1054
3,9.71327782,8.77190239,0.0242287807,8.77190239,0,0.0818884098,0.440888896,6.52259794e-08,3.24441151,,401,1245
4,9.25395584,7.19445614,0.0165444297,7.19445614,0,0.0582390308,0.362976819,3.04131282e-08,3.27473903,,401,1567
5,4.72695732,0.562876616,0.0134851759,0.562876616,0,0.0489594578,0.0399427228,2.02055521e-08,1.29555678,,401,1718
6,3.96464443,0.517075249,0.0229447616,0.517075249,0,0.0408822932,0.0403514037,5.84957871e-08,0.863382406,,401,1296
7,4.95090151,0.571690762,0.0108747278,0.571690762,0,0.0516780754,0.0402442151,1.31399673e-08,1.44590578,,401,1866
8,1.64152122,0.603892478,0.0471744306,0.648657557,50,0.0560301964,0.0777878938,2.47269655e-07,0.190640198,,401,493
9,6.04354954,0.898600099,0.00361388768,0.898600099,0,0.0638137767,0.0533580451,1.45113157e-09,2.2518302,,401,2983
10,9.12394714,6.77985766,0.0148620201,6.77985766,0,0.0546495576,0.342362174,2.45421822e-08,3.27729145,,401,1647
11,3.6833241,0.48596742,0.0263563613,0.48596742,0,0.0391766065,0.0409737418,7.7184198e-08,0.735838409,,401,1160
12,0.433808655,0.835925713,0.0776279631,0.835925713,0,0.133959564,0.118338675,6.6956674e-07,0.0409209272,,401,131
13,8.95655441,6.2665546,0.0129588759,6.2665546,0,0.0520945165,0.316752763,1.86591626e-08,3.2766189,,401,1745
14,8.00756741,3.78561837,0.00695538092,3.78561837,0,0.0612792129,0.191967321,5.3752582e-09,3.17858104,,401,2196
15,3.84274793,0.50427329,0.0244384244,0.50427329,0,0.0400152491,0.0405672386,6.63596209e-08,0.806091271,,401,1235
16,7.87712288,3.50060318,0.00666035068,3.50060318,0,0.062938783,0.177673224,4.92891902e-09,3.15040594,,401,2242
17,3.15486169,0.427350144,0.0323386384,0.427350144,0,0.0390211491,0.0441751031,1.16198615e-07,0.537853985,,401,947
18,2.90566754,0.413191695,0.0349455969,0.464014319,50,0.0402533136,0.0472013569,1.35688305e-07,0.46105357,,401,872
19,7.81859112,3.37699707,0.0064837773,3.37699707,0,0.0635665788,0.171491546,4.6710409e-09,3.13640794,,401,2276
20,7.71657228,3.16799831,0.00629231297,3.16799831,0,0.0646248419,0.161057555,4.39924473e-09,3.10991899,,401,2318
21,3.90958571,0.511439357,0.0236220115,0.511439357,0,0.0404676008,0.0404395401,6.19999362e-08,0.837113898,,401,1268
22,7.09109783,2.06305181,0.00564298955,2.06305181,0,0.0682619618,0.106651854,3.5381479e-09,2.88378905,,401,2517
23,5.25784254,0.597916149,0.00766237385,0.597916149,0,0.0553669741,0.0413684241,6.52355256e-09,1.66553039,,401,2113
24,2.44128203,0.436490079,0.0394770722,0.533198284,50,0.0442811835,0.0559239646,1.73159914e-07,0.341525141,,401,733
25,6.14205456,0.970071368,0.00370429021,0.970071368,0,0.0646136694,0.0563404229,1.52464066e-09,2.32232214,,401,2927
26,2.04334259,0.507210722,0.0431376534,0.591670093,50,0.0491964474,0.0660369232,2.06761904e-07,0.259245003,,401,614
27,2.74673057,0.413462379,0.0365364054,0.487734588,50,0.0414334284,0.0497415268,1.48323214e-07,0.416913631,,401,825
28,0.30438152,0.845220072,0.0812362296,0.845220072,0,0.154692148,0.123435679,7.33258333e-07,0.0285755847,,401,92
29,8.89783192,6.09196559,0.0123608277,6.09196559,0,0.0516733211,0.30802393,1.69766736e-08,3.27530735,,401,1777
30,1.5943718,0.615789385,0.0477412267,0.655161561,50,0.0570792707,0.0792278427,2.53247192e-07,0.183364864,,401,479
31,0.225370258,0.848959544,0.0837435152,0.848959544,0,0.169637667,0.126467925,7.79219593e-07,0.0212160625,,401,68
32,8.12288284,4.04869865,0.00727458156,4.04869865,0,0.0596585757,0.205193581,5.87994854e-09,3.20016648,,401,2156
33,8.87426186,6.02267013,0.0121304484,6.02267013,0,0.0515865122,0.304554692,1.63497532e-08,3.27462116,,401,1791
34,7.19491529,2.2255177,0.00574065818,2.2255177,0,0.0680004251,0.114535501,3.66168404e-09,2.92934584,,401,2488
35,9.99229908,9.81688814,0.030400648,9.81688814,0,0.102281181,0.4923022,1.02688822e-07,3.20931505,,401,1003
36,3.10504723,0.42344199,0.0328702337,0.434508577,50,0.039209463,0.0446903822,1.20050252e-07,0.521718903,,401,932
37,5.31036854,0.605559846,0.00717933101,0.605559846,0,0.0559682456,0.0416835528,5.72697708e-09,1.70430965,,401,2168
38,3.02355313,0.418107012,0.0337280147,0.446547817,50,0.0395828974,0.0456271577,1.26397664e-07,0.496180331,,401,908
39,3.19880724,0.431128831,0.0318646225,0.431128831,0,0.038881819,0.0437536833,1.1281713e-07,0.552426665,,401,960
40,2.80142832,0.412391682,0.0359963559,0.479549877,50,0.0409876591,0.0488152483,1.43970849e-07,0.431701593,,401,841
41,8.04559422,3.87121488,0.00705039499,3.87121488,0,0.060756464,0.196267856,5.52311884e-09,3.18603508,,401,2185
42,0.808018982,0.788269918,0.0658277765,0.788269918,0,0.0930347948,0.104303964,4.81477351e-07,0.0800794094,,401,243
43,4.65554047,0.560405829,0.014349797,0.560405829,0,0.0480955339,0.0399005302,2.28796303e-08,1.24968961,,401,1672
44,3.77869463,0.49718638,0.0252160943,0.49718638,0,0.0396356706,0.0407216506,7.0650157e-08,0.777238483,,401,1205
45,9.16703224,6.91572506,0.0153907898,6.91572506,0,0.0556442761,0.3491278,2.63196011e-08,3.27674094,,401,1622
46,1.20924282,0.708846521,0.054215188,0.708846521,0,0.0691037134,0.0911238036,3.26587401e-07,0.128884673,,401,363
47,1.77792275,0.569897861,0.0456849089,0.629625667,50,0.0534137025,0.073682802,2.31901211e-07,0.212542146,,401,534
48,9.51305294,8.06255903,0.0205274306,8.06255903,0,0.0697464603,0.405928469,4.68194895e-08,3.26173538,,401,1395
49,4.04722452,0.524927275,0.0219214376,0.524927275,0,0.0415685189,0.0402339256,5.33943805e-08,0.904006783,,401,1338
50,8.66737652,5.4338291,0.0103281836,5.4338291,0,0.052310956,0.274990004,1.18523752e-08,3.26456595,,401,1900
51,5.16920233,0.587413134,0.00854243734,0.587413134,0,0.0542936584,0.0409242054,8.10813731e-09,1.60077235,,401,2032
52,9.42707825,7.76830001,0.0191042448,7.76830001,0,0.065324198,0.391397211,4.05524631e-08,3.26721899,,401,1454
53,6.3298049,1.12879886,0.00406636151,1.12879886,0,0.0660145936,0.0631622308,1.8372551e-09,2.45176648,,401,2832
54,5.73554611,0.726646294,0.00419779067,0.726646294,0,0.060736571,0.0464515185,1.9579385e-09,2.02377822,,401,2808
55,8.40283203,4.7312594,0.00855452911,4.7312594,0,0.055550207,0.239587276,8.13110759e-09,3.24057361,,401,2030
56,3.78516555,0.497920617,0.0251379249,0.497920617,0,0.0396715325,0.0407056658,7.02128077e-08,0.780114723,,401,1208
57,4.78401232,0.564852639,0.0128040954,0.564852639,0,0.0496518828,0.0399923422,1.82160954e-08,1.33294685,,401,1754
58,9.92256451,9.5495277,0.0287315595,9.5495277,0,0.0968431393,0.479154253,9.17225016e-08,3.21931624,,401,1067
59,7.58315992,2.9069287,0.00613391543,2.9069287,0,0.0658429338,0.148069152,4.1805465e-09,3.07110951,,401,2358
60,7.2486515,2.31289994,0.00580629312,2.31289994,0,0.0678313581,0.11879602,3.74589331e-09,2.95163349,,401,2468
61,1.37600493,0.669732079,0.0509228534,0.684626233,50,0.0629364209,0.0859281938,2.88126334e-07,0.15145931,,401,413
62,0.873030841,0.777142803,0.0636824518,0.777142803,0,0.0880614437,0.102044481,4.50606075e-07,0.0874905423,,401,262
