epoch,ref_mse
0,0.03716274402951219
100,9.655709140840975e-07
200,6.412723041852019e-07
300,5.513073804015953e-07
400,4.6177093271994405e-07
500,3.793804065191603e-07
600,3.062322559372029e-07
700,2.4291723594311145e-07
800,1.892378300601006e-07
900,1.4465109695394303e-07
1000,1.0845283445814639e-07
1100,7.973373992129612e-08
1200,5.7545165623454465e-08
1300,4.088534027987742e-08
1400,2.8729809662335747e-08
1500,2.0115908376686196e-08
1600,1.4177231260044615e-08
1700,1.0190207724351516e-08
1800,7.571575543896636e-09
1900,5.8787434351581714e-09
2000,4.8582268213297205e-09
2100,9.495668122627828e-09
2200,5.259647965199064e-09
2300,4.32473206661218e-09
2400,7.556254578528007e-06
2500,5.66786552808215e-09
2600,4.810996487867756e-09
2700,3.982600004961822e-09
2800,3.5023720802172564e-09
2900,3.536046864811013e-08
3000,4.963472305659413e-09
3100,4.009864063579229e-09
3200,3.533241849845995e-09
3300,1.5160746229907666e-08
3400,5.026840732362508e-09
3500,3.91101768145346e-09
3600,3.4582864372246402e-09
3700,8.575491005010235e-08
3800,5.630015486161337e-09
3900,4.2470922567160535e-09
4000,3.089072345291363e-07
4100,3.9375236436164005e-09
4200,6.799390632428918e-07
4300,4.7781559810754385e-09
4400,3.869924118906275e-09
4500,2.5374797947628307e-06
4600,2.3518412973156605e-08
4700,1.0875756211279532e-08
4800,3.775313157438668e-09
4900,9.83120482970129e-07
5000,5.191726714721158e-09
5100,3.755662113912863e-09
5200,4.349588585530429e-08
5300,5.23745432870682e-07
5400,4.89201128652728e-09
5500,3.78822375000745e-09
5600,3.3698415433742003e-09
5700,2.6842591504700816e-08
5800,4.328302543386079e-09
5900,2.8665392416541084e-06
6000,4.158696331776113e-09
6100,3.411541778102742e-09
6200,9.599759899556392e-09
6300,3.762337067937011e-09
6400,3.3448199241355e-09
6500,5.088268050760269e-09
6600,5.446805325059005e-08
6700,3.853028858116338e-09
6800,3.2897446657063443e-09
6900,1.0084029145927794e-06
7000,3.8770505863995685e-09
7100,3.2617556401705226e-09
7200,6.08665008768657e-09
7300,7.087845339390725e-07
7400,3.512326877993893e-09
7500,3.1226865742068085e-09
7600,9.943559414791538e-08
7700,3.311805470469285e-09
7800,5.695302713363317e-07
7900,3.937960474496517e-09
8000,1.0102015466163008e-07
8100,3.3144123214845517e-09
8200,2.9584055773360364e-09
8300,2.2928209664095158e-06
8400,3.5509889207751267e-09
8500,2.9533992020423585e-09
8600,1.8411426390587302e-08
8700,2.9108189155826444e-09
8800,1.1610014642985747e-08
8900,3.0429675896440974e-09
9000,1.0626140469067594e-07
9100,3.043951523259005e-09
9200,6.870860819357115e-06
9300,3.348417635937092e-09
9400,2.7095388115559073e-09
9500,5.5085015119072205e-06
9600,1.3744438791008422e-07
9700,1.3392201500845433e-08
9800,2.991467207030239e-09
9900,4.388708713990845e-08
10000,2.909967269555536e-08
10100,2.5496975674636398e-09
10200,4.676001012640514e-06
10300,2.9878271567425555e-09
10400,3.300401414464131e-09
10500,3.2300537914317873e-09
10600,2.3449263111211184e-09
10700,2.1023387338471153e-08
10800,9.022801592078075e-08
10900,2.5592744176273365e-09
11000,3.5204171377865166e-09
11100,3.336521552940834e-06
11200,9.885390969879992e-07
11300,2.2033562551191654e-09
11400,4.234821492822487e-07
11500,2.1070794961408442e-09
